Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/03  03:00:00,156625982.7275081,156625982.72750917,29404584.0,11656115.239317864,69428446.02933633 
 01/03  04:00:00,147707562.61452416,147707562.61452514,29404584.0,11656115.239317864,67754414.39683005 
 01/03  05:00:00,152614392.74460346,152614392.74460444,29404584.0,16975375.727318894,71432354.39683005 
 01/03  06:00:00,178748608.13403547,178748608.13403642,29404584.0,26284081.875110786,87158392.55936149 
 01/03  07:00:00,217952009.476557,217952009.47655797,235785979.21165344,27613896.938352972,120284500.51693058 
 01/03  08:00:00,229321367.7305982,229321367.73059922,278678267.97139764,26284081.875110786,146293383.9335011 
 01/03  09:00:00,235234268.34593266,235234268.34593362,273781792.58355093,18466671.234855436,149227177.34515285 
 01/03  10:00:00,246475785.63054806,246475785.63054913,226785751.3241102,15807040.873338813,139867388.97765952 
 01/03  11:00:00,244971249.92381147,244971249.92381257,219437992.3748073,15807040.873338813,128503692.2426721 
 01/03  12:00:00,161263871.45437017,161263871.45437115,177430497.63717687,15807040.873338813,130177723.87517832 
 01/03  13:00:00,158528772.97365025,158528772.97365123,143808314.93812475,15590730.651414875,128385990.86668785 
 01/03  14:00:00,250233813.4294925,250233813.42949343,140972606.74556616,15807040.873338813,123481597.34515285 
 01/03  15:00:00,231429141.46952355,231429141.46952453,111091397.4166309,15807040.873338813,121807565.71264665 
 01/03  16:00:00,227414219.8295111,227414219.82951212,140876394.63450098,19796486.53312959,126829660.61016576 
 01/03  17:00:00,235389154.29174754,235389154.29174855,144651408.28817958,29105192.44588942,161629800.20024115 
 01/03  18:00:00,293929194.7283965,293929194.7283974,216324862.5709735,35592787.787870474,204884491.0712216 
 01/03  19:00:00,293004098.9391485,293004098.93914944,228327561.13836938,44901493.93566237,204645835.6122203 
 01/03  20:00:00,375093762.04973364,375093762.0497335,251849145.69235292,51550569.72193773,185571734.18467608 
 01/03  21:00:00,355139082.8511101,355139082.85111123,193119024.18412983,51550569.72193773,178875607.65465096 
 01/03  22:00:00,317576681.0247003,317576681.0247012,176788972.5279404,38252418.149386905,164823601.124626 
 01/03  23:00:00,258408625.2693625,258408625.26936358,164587445.04200026,24954266.576836366,134031278.26953766 
 01/03  24:00:00,207667531.92791325,207667531.9279143,88551970.60944334,15645560.66407668,104912987.04695597 
 01/04  01:00:00,170316350.35646144,170316350.35646248,29404584.0,11656115.239317864,79472635.82437395 
 01/04  02:00:00,154722137.60364157,154722137.60364258,29404584.0,11656115.239317864,72776509.29434878 
 01/04  03:00:00,144150985.56644276,144150985.5664437,29404584.0,11656115.239317864,69428446.02933633 
 01/04  04:00:00,139312054.47584826,139312054.47584924,29404584.0,11656115.239317864,67754414.39683005 
 01/04  05:00:00,146642890.29276246,146642890.2927634,29404584.0,16975375.727318894,71432354.39683005 
 01/04  06:00:00,170778822.77437484,170778822.7743758,29404584.0,26284081.875110786,87158392.55936149 
 01/04  07:00:00,206277113.36111474,206277113.36111575,236015475.39374125,27613896.938352972,120284500.51693058 
 01/04  08:00:00,220257020.96017143,220257020.9601724,278858001.37047184,26284081.875110786,146293383.9335011 
 01/04  09:00:00,227062866.76218873,227062866.76218972,273921730.4097529,18466671.234855436,149227177.34515285 
 01/04  10:00:00,238778849.80498767,238778849.8049887,226857239.21781433,15807040.873338813,139867388.97765952 
 01/04  11:00:00,257111922.700292,257111922.70029306,219512517.18918383,15807040.873338813,128503692.2426721 
 01/04  12:00:00,217492053.14161208,217492053.14161307,177479482.21752933,15807040.873338813,130177723.87517832 
 01/04  13:00:00,209405602.00852656,209405602.00852752,143828188.52934366,15590730.651414875,128385990.86668785 
 01/04  14:00:00,247682874.2223718,247682874.22237283,140996890.49895096,15807040.873338813,123481597.34515285 
 01/04  15:00:00,180282229.2347961,180282229.23479718,111094109.03687069,15807040.873338813,121807565.71264665 
 01/04  16:00:00,161844114.43730605,161844114.43730706,140901564.4785633,19796486.53312959,126829660.61016576 
 01/04  17:00:00,206355239.49850705,206355239.49850804,144675281.19552916,29105192.44588942,161629800.20024115 
 01/04  18:00:00,270432951.82290447,270432951.8229054,216402060.67504972,35592787.787870474,204884491.0712216 
 01/04  19:00:00,357416414.0924306,357416414.0924286,228442019.62964147,44901493.93566237,204645835.6122203 
 01/04  20:00:00,360707430.7152448,360707430.71524596,249382042.60541576,51550569.72193773,185571734.18467608 
 01/04  21:00:00,347262051.89786994,347262051.897871,194892986.25806183,51550569.72193773,178875607.65465096 
 01/04  22:00:00,312153878.03470385,312153878.0347051,177583735.53765392,38252418.149386905,164823601.124626 
 01/04  23:00:00,246800191.63258225,246800191.63258323,164277009.9945296,24954266.576836366,134031278.26953766 
 01/04  24:00:00,190222803.73814762,190222803.73814866,88875939.2979595,15645560.66407668,104912987.04695597 
 01/05  01:00:00,151439806.7417482,151439806.74174917,29404584.0,11656115.239317864,79472635.82437395 
 01/05  02:00:00,140441232.19259882,140441232.19259983,29404584.0,11656115.239317864,72776509.29434878 
 01/05  03:00:00,134740801.56530774,134740801.56530866,29404584.0,11656115.239317864,69428446.02933633 
 01/05  04:00:00,131601684.13135204,131601684.131353,29404584.0,11656115.239317864,67754414.39683005 
 01/05  05:00:00,139322897.9312415,139322897.93124253,29404584.0,16975375.727318894,71432354.39683005 
 01/05  06:00:00,164901315.81062067,164901315.81062165,29404584.0,26284081.875110786,87158392.55936149 
 01/05  07:00:00,202331545.48746097,202331545.48746195,236110983.8500557,27613896.938352972,120284500.51693058 
 01/05  08:00:00,216573480.42359236,216573480.42359334,279011100.2272985,26284081.875110786,146293383.9335011 
 01/05  09:00:00,222607598.18834195,222607598.18834296,274069730.7289176,18466671.234855436,149227177.34515285 
 01/05  10:00:00,236555183.02538377,236555183.02538484,226959728.84765851,15807040.873338813,139867388.97765952 
 01/05  11:00:00,249230879.97533974,249230879.9753408,219597051.42910597,15807040.873338813,128503692.2426721 
 01/05  12:00:00,200827095.30631426,200827095.3063153,177524272.4309684,15807040.873338813,130177723.87517832 
 01/05  13:00:00,158528772.97365025,158528772.97365123,143866379.21634176,15590730.651414875,128385990.86668785 
 01/05  14:00:00,154447467.15970892,154447467.1597099,141024053.21968532,15807040.873338813,123481597.34515285 
 01/05  15:00:00,205234873.81017178,205234873.8101729,111123341.26447193,15807040.873338813,121807565.71264665 
 01/05  16:00:00,208852151.4391253,208852151.43912634,140927892.66952655,19796486.53312959,126829660.61016576 
 01/05  17:00:00,248684672.18634343,248684672.18634444,144719363.627821,29105192.44588942,161629800.20024115 
 01/05  18:00:00,283984664.9822957,283984664.9822967,216473056.27021176,35592787.787870474,204884491.0712216 
 01/05  19:00:00,293004098.9391485,293004098.93914944,232581167.07745036,44901493.93566237,204645835.6122203 
 01/05  20:00:00,310026907.3217715,310026907.3217718,253605317.41454887,51550569.72193773,185571734.18467608 
 01/05  21:00:00,351487946.73112524,351487946.7311263,196162624.33072224,51550569.72193773,178875607.65465096 
 01/05  22:00:00,319758368.15613246,319758368.1561334,169061632.21327135,38252418.149386905,164823601.124626 
 01/05  23:00:00,260833444.65193957,260833444.65194064,172484031.13579684,24954266.576836366,134031278.26953766 
 01/05  24:00:00,209528858.2341052,209528858.23410618,81391611.75309637,15645560.66407668,104912987.04695597 
 01/06  01:00:00,169397504.79737955,169397504.79738048,29404584.0,11656115.239317864,79472635.82437395 
 01/06  02:00:00,156486060.09405756,156486060.09405857,29404584.0,11656115.239317864,72776509.29434878 
 01/06  03:00:00,148877206.7267991,148877206.72680005,29404584.0,11656115.239317864,69428446.02933633 
 01/06  04:00:00,143517605.0763434,143517605.07634437,29404584.0,11656115.239317864,67754414.39683005 
 01/06  05:00:00,150176588.61133403,150176588.61133498,29404584.0,16975375.727318894,71432354.39683005 
 01/06  06:00:00,175381596.05001143,175381596.0500124,29404584.0,26284081.875110786,87158392.55936149 
 01/06  07:00:00,214880575.92762983,214880575.92763084,236131421.71001637,27613896.938352972,120284500.51693058 
 01/06  08:00:00,218521539.65147847,218521539.65147942,279150397.9848751,26284081.875110786,146293383.9335011 
 01/06  09:00:00,216521747.93321556,216521747.93321654,274210250.8145858,18466671.234855436,149227177.34515285 
 01/06  10:00:00,229289859.1667333,229289859.1667343,227075619.44600278,15807040.873338813,139867388.97765952 
 01/06  11:00:00,242927009.7134627,242927009.71346378,219679715.0975441,15807040.873338813,128503692.2426721 
 01/06  12:00:00,254237210.3481181,254237210.34811914,177572794.7082253,15807040.873338813,130177723.87517832 
 01/06  13:00:00,172170372.79854944,172170372.7985505,143910913.37513623,15590730.651414875,128385990.86668785 
 01/06  14:00:00,154447467.15970892,154447467.1597099,141052093.09833,15807040.873338813,123481597.34515285 
 01/06  15:00:00,152050692.25367457,152050692.25367555,111131218.23962185,15807040.873338813,121807565.71264665 
 01/06  16:00:00,161844114.43730605,161844114.43730706,140954623.53285694,19796486.53312959,126829660.61016576 
 01/06  17:00:00,206355239.49850705,206355239.49850804,144770436.84506583,29105192.44588942,161629800.20024115 
 01/06  18:00:00,270432951.82290447,270432951.8229054,216545878.35054272,35592787.787870474,204884491.0712216 
 01/06  19:00:00,293004098.9391485,293004098.93914944,245056069.19844937,44901493.93566237,204645835.6122203 
 01/06  20:00:00,301922526.3169442,301922526.31694514,241510772.39732906,51550569.72193773,185571734.18467608 
 01/06  21:00:00,324773089.37397814,324773089.3739792,211279668.73880213,51550569.72193773,178875607.65465096 
 01/06  22:00:00,297904807.7502731,297904807.7502741,159038300.80187556,38252418.149386905,164823601.124626 
 01/06  23:00:00,244631637.20487964,244631637.20488065,168544103.2335182,24954266.576836366,134031278.26953766 
 01/06  24:00:00,197601776.71734828,197601776.71734923,81357608.84637132,15645560.66407668,104912987.04695597 
 01/07  01:00:00,159837250.4397019,159837250.43970293,29404584.0,11656115.239317864,79472635.82437395 
 01/07  02:00:00,145128372.13733912,145128372.1373401,29404584.0,11656115.239317864,72776509.29434878 
 01/07  03:00:00,138140811.88772732,138140811.88772827,29404584.0,11656115.239317864,69428446.02933633 
 01/07  04:00:00,134220648.42368937,134220648.42369038,29404584.0,11656115.239317864,67754414.39683005 
 01/07  05:00:00,141813053.37677944,141813053.37678042,29404584.0,16975375.727318894,71432354.39683005 
 01/07  06:00:00,168871513.46378922,168871513.46379018,29404584.0,26284081.875110786,87158392.55936149 
 01/07  07:00:00,207237393.4346575,207237393.43465853,236243095.1187346,27613896.938352972,120284500.51693058 
 01/07  08:00:00,221356635.18777454,221356635.1877755,279271432.2701367,26284081.875110786,146054728.47449982 
 01/07  09:00:00,221638976.1571894,221638976.15719038,274347081.06442106,16975375.727318894,147728760.107006 
 01/07  10:00:00,232364567.91965336,232364567.91965425,227212736.39556542,14315745.365802372,138368971.73951268 
 01/07  11:00:00,241723388.97122902,241723388.97123003,219763311.1725098,14315745.365802372,127005275.00452524 
 01/07  12:00:00,252428679.68124324,252428679.68124434,177649379.79958278,14315745.365802372,128679306.63703147 
 01/07  13:00:00,260078811.04733092,260078811.047332,143960163.43660033,14315745.365802372,127005275.00452524 
 01/07  14:00:00,189058278.94579774,189058278.9457987,141080716.30858094,14315745.365802372,121983180.10700601 
 01/07  15:00:00,149729694.22228795,149729694.22228897,111159373.60574633,14315745.365802372,120309148.4744998 
 01/07  16:00:00,214459959.80679804,214459959.80679905,140985687.33156812,18305191.025593143,125331243.3720189 
 01/07  17:00:00,226266460.85534447,226266460.85534546,166239554.40192872,27613896.938352972,160131382.9620943 
 01/07  18:00:00,314151760.3065455,314151760.3065456,193531323.72900832,35592787.787870474,204645835.6122203 
 01/07  19:00:00,293004098.9391485,293004098.93914944,261940276.03652126,44901493.93566237,204645835.6122203 
 01/07  20:00:00,309776661.0383915,309776661.0383917,225146862.78840435,51550569.72193773,185571734.18467608 
 01/07  21:00:00,350575756.507066,350575756.507067,218799949.11296356,51550569.72193773,178875607.65465096 
 01/07  22:00:00,317357054.56796336,317357054.56796443,177626476.61163664,38252418.149386905,164823601.124626 
 01/07  23:00:00,258985204.3206784,258985204.3206794,143871011.99729362,24954266.576836366,134031278.26953766 
 01/07  24:00:00,207463325.1924777,207463325.19247872,81290075.61658522,15645560.66407668,104912987.04695597 
 01/08  01:00:00,164654096.89180338,164654096.89180437,29404584.0,11656115.239317864,79472635.82437395 
 01/08  02:00:00,151495024.9926531,151495024.9926541,29404584.0,11656115.239317864,72776509.29434878 
 01/08  03:00:00,147557859.5432973,147557859.54329824,29404584.0,11656115.239317864,69428446.02933633 
 01/08  04:00:00,143456890.3263761,143456890.3263771,29404584.0,11656115.239317864,67754414.39683005 
 01/08  05:00:00,150033889.2787822,150033889.27878314,29404584.0,16975375.727318894,71432354.39683005 
 01/08  06:00:00,173355700.25258714,173355700.25258806,29404584.0,26284081.875110786,87158392.55936149 
 01/08  07:00:00,208894185.95022988,208894185.95023084,236362402.80805874,27613896.938352972,120284500.51693058 
 01/08  08:00:00,218634913.7820266,218634913.78202754,279418683.7339053,26284081.875110786,146054728.47449982 
 01/08  09:00:00,213466747.60214448,213466747.6021455,274490285.8321232,16975375.727318894,147728760.107006 
 01/08  10:00:00,225557335.02462825,225557335.02462935,236708300.6659621,14315745.365802372,138368971.73951268 
 01/08  11:00:00,241327613.9768594,241327613.97686043,210807620.75234136,14315745.365802372,127005275.00452524 
 01/08  12:00:00,257981116.33226603,257981116.33226714,177784767.99199277,14315745.365802372,128679306.63703147 
 01/08  13:00:00,216296171.83610356,216296171.83610454,166975014.77381092,14315745.365802372,127005275.00452524 
 01/08  14:00:00,151431979.206544,151431979.206545,118670245.4227243,14315745.365802372,121983180.10700601 
 01/08  15:00:00,149729694.22228795,149729694.22228897,138178419.9035122,14315745.365802372,120309148.4744998 
 01/08  16:00:00,206789778.1391626,206789778.13916355,113349634.5089814,18305191.025593143,125331243.3720189 
 01/08  17:00:00,221315456.73518753,221315456.73518857,173671509.3603078,27613896.938352972,160131382.9620943 
 01/08  18:00:00,270187256.94838786,270187256.9483888,190406949.33492714,35592787.787870474,204645835.6122203 
 01/08  19:00:00,293004098.9391485,293004098.93914944,256931069.50758174,44901493.93566237,204645835.6122203 
 01/08  20:00:00,366645088.2572158,366645088.2572162,225228959.6301106,51550569.72193773,185571734.18467608 
 01/08  21:00:00,348381937.6062162,348381937.606217,218904554.4140287,51550569.72193773,178875607.65465096 
 01/08  22:00:00,310927259.56973064,310927259.5697316,177661079.65430713,38252418.149386905,164823601.124626 
 01/08  23:00:00,252818092.80663994,252818092.80664098,143938540.38515067,24954266.576836366,134031278.26953766 
 01/08  24:00:00,202225195.04292485,202225195.04292583,81563462.647675,15645560.66407668,104912987.04695597 
 01/09  01:00:00,161993108.71425027,161993108.71425125,29404584.0,11656115.239317864,79472635.82437395 
 01/09  02:00:00,149221695.65986496,149221695.65986598,29404584.0,11656115.239317864,72776509.29434878 
 01/09  03:00:00,142191045.91615096,142191045.91615188,29404584.0,11656115.239317864,69428446.02933633 
 01/09  04:00:00,137535243.22520524,137535243.22520626,29404584.0,11656115.239317864,67754414.39683005 
 01/09  05:00:00,144527159.88360506,144527159.8836061,29404584.0,16975375.727318894,71432354.39683005 
 01/09  06:00:00,169604912.92655355,169604912.9265545,29404584.0,26284081.875110786,87158392.55936149 
 01/09  07:00:00,205172019.66630977,205172019.6663108,236479599.88280916,27613896.938352972,120284500.51693058 
 01/09  08:00:00,216273622.28150278,216273622.28150374,279545543.94952726,26284081.875110786,146293383.9335011 
 01/09  09:00:00,221199618.19037008,221199618.19037113,274615165.7691338,18466671.234855436,149227177.34515285 
 01/09  10:00:00,234141748.27752143,234141748.2775225,257913607.07661894,15807040.873338813,139867388.97765952 
 01/09  11:00:00,245922062.74105978,245922062.74106094,207640041.39996967,15807040.873338813,128503692.2426721 
 01/09  12:00:00,225107768.62103862,225107768.62103963,161737044.89524478,15807040.873338813,130177723.87517832 
 01/09  13:00:00,158528772.97365025,158528772.97365123,172622454.15461272,15590730.651414875,128385990.86668785 
 01/09  14:00:00,184950929.13678205,184950929.13678306,119591875.65596755,15807040.873338813,123481597.34515285 
 01/09  15:00:00,225550750.85184336,225550750.85184434,132138709.99972068,15807040.873338813,121807565.71264665 
 01/09  16:00:00,220858687.16055247,220858687.1605535,122473712.90834656,19796486.53312959,126829660.61016576 
 01/09  17:00:00,255557012.1395254,255557012.1395264,163918929.6060471,29105192.44588942,161629800.20024115 
 01/09  18:00:00,303022983.46269643,303022983.4626968,213262920.49231163,35592787.787870474,204884491.0712216 
 01/09  19:00:00,301781497.87898684,301781497.87898755,232889901.5592125,44901493.93566237,204645835.6122203 
 01/09  20:00:00,307438540.5485425,307438540.548543,225351853.48751074,51550569.72193773,185571734.18467608 
 01/09  21:00:00,346904305.3619764,346904305.36197734,218997639.26626176,51550569.72193773,178875607.65465096 
 01/09  22:00:00,314399598.3628399,314399598.3628409,177701882.1576394,38252418.149386905,164823601.124626 
 01/09  23:00:00,258223398.6571885,258223398.65718958,144010760.98662284,24954266.576836366,134031278.26953766 
 01/09  24:00:00,207726014.17680556,207726014.17680657,102578393.5358102,15645560.66407668,104912987.04695597 
 01/10  01:00:00,166514028.55105242,166514028.55105338,33951492.31844345,11656115.239317864,79472635.82437395 
 01/10  02:00:00,153220097.35092443,153220097.35092545,29404584.0,11656115.239317864,72776509.29434878 
 01/10  03:00:00,145437267.05921695,145437267.05921793,29404584.0,11656115.239317864,69428446.02933633 
 01/10  04:00:00,138262040.06667802,138262040.066679,29404584.0,11656115.239317864,67754414.39683005 
 01/10  05:00:00,144689353.89933297,144689353.89933395,29404584.0,16975375.727318894,71432354.39683005 
 01/10  06:00:00,169980991.24803245,169980991.2480334,29404584.0,26284081.875110786,87158392.55936149 
 01/10  07:00:00,207769757.42447957,207769757.42448056,236724286.11136907,27613896.938352972,120284500.51693058 
 01/10  08:00:00,221551546.894581,221551546.89458197,279738134.07018673,26284081.875110786,146293383.9335011 
 01/10  09:00:00,228361289.1131168,228361289.11311775,274739691.3853087,18466671.234855436,149227177.34515285 
 01/10  10:00:00,239840460.9589753,239840460.9589763,227424936.53694162,15807040.873338813,139867388.97765952 
 01/10  11:00:00,251023673.40035582,251023673.40035683,219976970.08510712,15807040.873338813,128503692.2426721 
 01/10  12:00:00,262452276.98742837,262452276.9874294,177746257.5615455,15807040.873338813,130177723.87517832 
 01/10  13:00:00,169176724.0336592,169176724.0336602,144033833.7379946,15590730.651414875,128385990.86668785 
 01/10  14:00:00,208990816.9739877,208990816.97398865,141150160.82366523,15807040.873338813,123481597.34515285 
 01/10  15:00:00,254093039.72721934,254093039.72722027,111206650.17451984,15807040.873338813,121807565.71264665 
 01/10  16:00:00,261941140.35186583,261941140.35186684,141054643.7025665,19796486.53312959,126829660.61016576 
 01/10  17:00:00,229902985.87736523,229902985.87736621,166599565.3239154,29105192.44588942,161629800.20024115 
 01/10  18:00:00,319237930.10505104,319237930.1050509,193431443.97263882,35592787.787870474,204884491.0712216 
 01/10  19:00:00,293004098.9391485,293004098.93914944,262254986.14203936,44901493.93566237,204645835.6122203 
 01/10  20:00:00,307706769.164191,307706769.1641914,225395929.29327425,51550569.72193773,185571734.18467608 
 01/10  21:00:00,347748908.46684813,347748908.4668492,219019893.16484052,51550569.72193773,178875607.65465096 
 01/10  22:00:00,321559109.99755913,321559109.99756014,177743056.85397834,38252418.149386905,164823601.124626 
 01/10  23:00:00,265134082.1493383,265134082.14933926,143967683.34495527,24954266.576836366,134031278.26953766 
 01/10  24:00:00,210030808.92737138,210030808.9273724,81588187.03239591,15645560.66407668,104912987.04695597 
 01/11  01:00:00,170383655.852017,170383655.85201803,29404584.0,11656115.239317864,79472635.82437395 
 01/11  02:00:00,157703425.0381196,157703425.03812063,29404584.0,11656115.239317864,72776509.29434878 
 01/11  03:00:00,148542415.4822395,148542415.48224047,29404584.0,11656115.239317864,69428446.02933633 
 01/11  04:00:00,143525727.68099234,143525727.68099332,29404584.0,11656115.239317864,67754414.39683005 
 01/11  05:00:00,150480964.3254017,150480964.32540268,29404584.0,16975375.727318894,71432354.39683005 
 01/11  06:00:00,175085455.08413583,175085455.0841368,29404584.0,26284081.875110786,87158392.55936149 
 01/11  07:00:00,212306928.9688214,212306928.96882242,236684361.4055795,27613896.938352972,120284500.51693058 
 01/11  08:00:00,228308456.55761856,228308456.55761948,279821017.58363056,26284081.875110786,146293383.9335011 
 01/11  09:00:00,233874773.90704376,233874773.9070448,274866152.96291536,18466671.234855436,149227177.34515285 
 01/11  10:00:00,244847276.49218094,244847276.49218202,253065953.33059192,15807040.873338813,139867388.97765952 
 01/11  11:00:00,243719529.71114826,243719529.71114925,209006175.40325737,15807040.873338813,128503692.2426721 
 01/11  12:00:00,161263871.45437017,161263871.45437115,165217131.39631948,15807040.873338813,130177723.87517832 
 01/11  13:00:00,190693062.11812696,190693062.1181279,172688213.83923778,15590730.651414875,128385990.86668785 
 01/11  14:00:00,268062745.28533834,268062745.28533933,120599431.17777401,15807040.873338813,123481597.34515285 
 01/11  15:00:00,263139952.17311957,263139952.17312062,131223024.39223666,15807040.873338813,121807565.71264665 
 01/11  16:00:00,267186402.89185366,267186402.89185473,126634934.58907962,19796486.53312959,126829660.61016576 
 01/11  17:00:00,299855669.7940264,299855669.7940273,159717223.1176694,29105192.44588942,161629800.20024115 
 01/11  18:00:00,270432951.82290447,270432951.8229054,217081052.48379552,35592787.787870474,204884491.0712216 
 01/11  19:00:00,323590635.725783,323590635.72578275,229155756.84846556,44901493.93566237,204645835.6122203 
 01/11  20:00:00,280250947.3161406,280250947.31614155,227241166.95122722,51550569.72193773,185571734.18467608 
 01/11  21:00:00,320615858.59159255,320615858.59159344,217469005.774094,51550569.72193773,178875607.65465096 
 01/11  22:00:00,334611550.7009136,334611550.7009145,177830485.61059517,38252418.149386905,164823601.124626 
 01/11  23:00:00,274817694.6137604,274817694.6137614,151247871.3110908,24954266.576836366,134031278.26953766 
 01/11  24:00:00,218341161.7394637,218341161.7394646,101024168.10747904,15645560.66407668,104912987.04695597 
 01/12  01:00:00,176487155.5929039,176487155.59290487,29404584.0,11656115.239317864,79472635.82437395 
 01/12  02:00:00,163731833.65981412,163731833.65981504,29404584.0,11656115.239317864,72776509.29434878 
 01/12  03:00:00,155253642.1905915,155253642.19059253,29404584.0,11656115.239317864,69428446.02933633 
 01/12  04:00:00,150349955.91360128,150349955.91360226,29404584.0,11656115.239317864,67754414.39683005 
