Date/Time,Electricity:Facility [J](Hourly) 
 01/05  06:00:00,1497621748.695657 
 01/05  07:00:00,2075248505.4226108 
 01/05  08:00:00,2195991317.504864 
 01/05  09:00:00,3277925856.694767 
 01/05  10:00:00,3218677784.082378 
 01/05  11:00:00,3198502092.3993664 
 01/05  12:00:00,3340627888.517576 
 01/05  13:00:00,3231526625.0086393 
 01/05  14:00:00,3425110212.3176036 
 01/05  15:00:00,3470868478.882525 
 01/05  16:00:00,3488737878.722801 
 01/05  17:00:00,3637694056.492646 
 01/05  18:00:00,2906832122.582863 
 01/05  19:00:00,2612355050.7776732 
 01/05  20:00:00,2436077288.4929185 
 01/05  21:00:00,2265150336.40655 
 01/05  22:00:00,2151763719.012852 
 01/05  23:00:00,1714819950.4802175 
 01/05  24:00:00,1596071454.8667917 
 01/06  01:00:00,1425139182.799903 
 01/06  02:00:00,1416682455.805125 
 01/06  03:00:00,1410277701.8741257 
 01/06  04:00:00,1408026386.4087589 
 01/06  05:00:00,1410674802.3294575 
 01/06  06:00:00,1566381321.3155923 
 01/06  07:00:00,2157049572.6160326 
 01/06  08:00:00,2264775080.7906256 
 01/06  09:00:00,3335419497.848791 
 01/06  10:00:00,3214860868.2003894 
 01/06  11:00:00,3133958102.7254457 
 01/06  12:00:00,3268567191.200671 
 01/06  13:00:00,3202282241.773893 
 01/06  14:00:00,3359732838.4442296 
 01/06  15:00:00,3389317534.9467187 
 01/06  16:00:00,3398073063.4236107 
 01/06  17:00:00,3561335561.0190835 
 01/06  18:00:00,2870880476.8052006 
 01/06  19:00:00,2588444932.484599 
 01/06  20:00:00,2428695580.67952 
 01/06  21:00:00,2281700135.4481187 
 01/06  22:00:00,2167121590.1159105 
 01/06  23:00:00,1719998879.7180588 
 01/06  24:00:00,1582658119.1378984 
 01/07  01:00:00,1305335128.137805 
 01/07  02:00:00,1287320943.0288255 
 01/07  03:00:00,1283017156.870238 
 01/07  04:00:00,1277782193.3921893 
 01/07  05:00:00,1275027368.0445762 
 01/07  06:00:00,1418118513.9884205 
 01/07  07:00:00,2053034724.893934 
 01/07  08:00:00,2004401715.7132893 
 01/07  09:00:00,2263610008.776765 
 01/07  10:00:00,2138701953.607012 
 01/07  11:00:00,1978814144.196024 
 01/07  12:00:00,2028600564.5969658 
 01/07  13:00:00,1836974412.9463234 
 01/07  14:00:00,1956921741.5574393 
 01/07  15:00:00,2009460877.3148534 
 01/07  16:00:00,2021601791.8435001 
 01/07  17:00:00,2180792632.4439774 
 01/07  18:00:00,2150393782.289387 
 01/07  19:00:00,1915694405.3673952 
 01/07  20:00:00,1682130817.6256251 
 01/07  21:00:00,1617755241.9067867 
 01/07  22:00:00,1513116255.0482666 
 01/07  23:00:00,1431985929.7313209 
 01/07  24:00:00,1354821560.1459937 
 01/08  01:00:00,1286056469.7432652 
 01/08  02:00:00,1275431776.8216844 
 01/08  03:00:00,1275419234.739938 
 01/08  04:00:00,1274620679.8367846 
 01/08  05:00:00,1273224079.4785016 
 01/08  06:00:00,1338823267.8160977 
 01/08  07:00:00,1688169131.4413662 
 01/08  08:00:00,1647067990.8311343 
 01/08  09:00:00,1619814919.8381872 
 01/08  10:00:00,1501131093.7230692 
 01/08  11:00:00,1362501020.1676357 
 01/08  12:00:00,1424705202.924103 
 01/08  13:00:00,1613909841.8872113 
 01/08  14:00:00,1690353238.0402186 
 01/08  15:00:00,1701904952.5455747 
 01/08  16:00:00,1717310565.0989494 
 01/08  17:00:00,1837918610.0458224 
 01/08  18:00:00,1842759260.657971 
 01/08  19:00:00,1824605586.2450547 
 01/08  20:00:00,1652411266.7083588 
 01/08  21:00:00,1618804795.7109985 
 01/08  22:00:00,1515091520.5673728 
 01/08  23:00:00,1416094365.3395703 
 01/08  24:00:00,1336083214.6866505 
 01/09  01:00:00,1369475142.112588 
 01/09  02:00:00,1368251413.155173 
 01/09  03:00:00,1367604657.879067 
 01/09  04:00:00,1366693896.2584565 
 01/09  05:00:00,1365872958.3749733 
 01/09  06:00:00,1550659728.6971114 
 01/09  07:00:00,2063733908.4485378 
 01/09  08:00:00,2202583704.4717607 
 01/09  09:00:00,3275823073.8472157 
 01/09  10:00:00,3161945892.587082 
 01/09  11:00:00,3103989420.5615416 
 01/09  12:00:00,3276192774.74321 
 01/09  13:00:00,3206600576.6600275 
 01/09  14:00:00,3373315939.7177835 
 01/09  15:00:00,3412765140.651252 
 01/09  16:00:00,3446357947.1226406 
 01/09  17:00:00,3608398077.230767 
 01/09  18:00:00,2910516199.117025 
 01/09  19:00:00,2622447561.8807907 
 01/09  20:00:00,2440111542.066341 
 01/09  21:00:00,2256604871.29385 
 01/09  22:00:00,2104520800.7263165 
 01/09  23:00:00,1679769590.4706025 
 01/09  24:00:00,1551065969.6575298 
 01/10  01:00:00,1376106622.6854599 
 01/10  02:00:00,1372476506.6789455 
 01/10  03:00:00,1371188521.5326605 
 01/10  04:00:00,1368638070.4066803 
 01/10  05:00:00,1367233758.6435175 
 01/10  06:00:00,1510483024.7472286 
 01/10  07:00:00,2053705363.8308482 
 01/10  08:00:00,2196520313.131609 
 01/10  09:00:00,3267505705.6022234 
 01/10  10:00:00,3163429807.528836 
 01/10  11:00:00,3130451537.176896 
 01/10  12:00:00,3295078373.8928986 
 01/10  13:00:00,3217520947.793025 
 01/10  14:00:00,3398661555.6068864 
 01/10  15:00:00,3439819819.9859657 
 01/10  16:00:00,3478929799.6870832 
 01/10  17:00:00,3638266930.686703 
 01/10  18:00:00,2902240922.753919 
 01/10  19:00:00,2599585863.8311653 
 01/10  20:00:00,2459976808.706565 
 01/10  21:00:00,2233490427.3548975 
 01/10  22:00:00,2133948051.3509724 
 01/10  23:00:00,1712232065.709083 
 01/10  24:00:00,1550129354.8523684 
 01/11  01:00:00,1377246077.9168606 
 01/11  02:00:00,1375201403.2228334 
 01/11  03:00:00,1371939317.0098555 
 01/11  04:00:00,1371318728.67754 
 01/11  05:00:00,1371171426.493007 
 01/11  06:00:00,1486088910.7354949 
 01/11  07:00:00,2062344163.7579303 
 01/11  08:00:00,2194898014.91949 
 01/11  09:00:00,3271770460.178995 
 01/11  10:00:00,3177857494.1746616 
 01/11  11:00:00,3230486382.3461523 
 01/11  12:00:00,3376809337.2258387 
 01/11  13:00:00,3270146184.7305803 
 01/11  14:00:00,3458768836.7153277 
 01/11  15:00:00,3485825374.745394 
 01/11  16:00:00,3515069947.685177 
 01/11  17:00:00,3687434543.615862 
 01/11  18:00:00,2927629758.1094556 
 01/11  19:00:00,2641895703.5161147 
 01/11  20:00:00,2477798484.241582 
 01/11  21:00:00,2309026713.1126103 
 01/11  22:00:00,2204926596.8084974 
 01/11  23:00:00,1725930822.3006725 
 01/11  24:00:00,1567314926.9233184 
 01/12  01:00:00,1396066109.1674943 
 01/12  02:00:00,1398344642.7745495 
 01/12  03:00:00,1389918351.5074883 
 01/12  04:00:00,1390665356.407936 
 01/12  05:00:00,1385187523.9306269 
 01/12  06:00:00,1521395797.6318145 
 01/12  07:00:00,2075520687.6126003 
 01/12  08:00:00,2199231365.8931775 
 01/12  09:00:00,3285480705.4980106 
 01/12  10:00:00,3236673494.3859367 
 01/12  11:00:00,3239091213.983769 
 01/12  12:00:00,3384579999.9550147 
 01/12  13:00:00,3291733182.06261 
 01/12  14:00:00,3479677541.2024574 
 01/12  15:00:00,3531932663.4096293 
 01/12  16:00:00,3579819078.1973352 
 01/12  17:00:00,3737187428.714718 
 01/12  18:00:00,2944606645.1545534 
 01/12  19:00:00,2676587635.0479083 
 01/12  20:00:00,2513979712.3108525 
 01/12  21:00:00,2342767755.472791 
 01/12  22:00:00,2200608159.1650853 
 01/12  23:00:00,1760844086.8642426 
 01/12  24:00:00,1597690605.2224178 
 01/13  01:00:00,1395409209.122613 
 01/13  02:00:00,1385151592.119359 
 01/13  03:00:00,1381612488.8032942 
 01/13  04:00:00,1380020723.7606387 
 01/13  05:00:00,1379957501.002191 
 01/13  06:00:00,1543916777.200807 
 01/13  07:00:00,2130923623.9534798 
 01/13  08:00:00,2268961991.0487924 
 01/13  09:00:00,3400772804.7967596 
 01/13  10:00:00,3324787034.0669603 
 01/13  11:00:00,3329798733.8255033 
 01/13  12:00:00,3445799892.104619 
 01/13  13:00:00,3317336914.889255 
 01/13  14:00:00,3512226012.96554 
 01/13  15:00:00,3547357792.0515366 
 01/13  16:00:00,3594902171.1648273 
 01/13  17:00:00,3752391209.5568104 
 01/13  18:00:00,2926628549.8293786 
 01/13  19:00:00,2673877403.169047 
 01/13  20:00:00,2506917663.53504 
 01/13  21:00:00,2378403681.071534 
 01/13  22:00:00,2281359649.533384 
 01/13  23:00:00,1792480570.6590037 
 01/13  24:00:00,1649921075.2078927 
 01/14  01:00:00,1361189898.4578834 
 01/14  02:00:00,1340130990.717017 
 01/14  03:00:00,1321265509.754493 
 01/14  04:00:00,1310813590.575113 
 01/14  05:00:00,1297036087.6784515 
 01/14  06:00:00,1419022951.883613 
 01/14  07:00:00,2082797474.0064282 
 01/14  08:00:00,2013471697.6097515 
 01/14  09:00:00,2271325702.9124207 
 01/14  10:00:00,2152789892.6775594 
 01/14  11:00:00,2052681455.8600016 
 01/14  12:00:00,2202871812.0081944 
 01/14  13:00:00,2015077972.953599 
 01/14  14:00:00,2042645087.2282724 
 01/14  15:00:00,2050862909.391258 
 01/14  16:00:00,2049177270.617121 
 01/14  17:00:00,2206190034.318217 
 01/14  18:00:00,2132256801.6466036 
 01/14  19:00:00,1894213065.6267676 
 01/14  20:00:00,1628119984.51513 
 01/14  21:00:00,1603603536.718285 
 01/14  22:00:00,1501310884.1424932 
 01/14  23:00:00,1409564096.6793704 
 01/14  24:00:00,1342536322.4764352 
 01/15  01:00:00,1287321660.6570802 
 01/15  02:00:00,1283711127.9298654 
 01/15  03:00:00,1283679718.8780491 
 01/15  04:00:00,1280596216.2680602 
 01/15  05:00:00,1276572503.8853104 
 01/15  06:00:00,1340803369.5347288 
 01/15  07:00:00,1690535262.4297786 
 01/15  08:00:00,1648315150.7045455 
 01/15  09:00:00,1622427019.4547627 
 01/15  10:00:00,1502699890.4620428 
 01/15  11:00:00,1342853309.4829955 
 01/15  12:00:00,1399482822.4471402 
 01/15  13:00:00,1611060245.0008996 
 01/15  14:00:00,1670827625.0606089 
 01/15  15:00:00,1714921839.0522957 
 01/15  16:00:00,1696845337.899483 
 01/15  17:00:00,1798884327.0038157 
 01/15  18:00:00,1825573818.7694035 
 01/15  19:00:00,1791973342.5821536 
 01/15  20:00:00,1620537818.1140335 
 01/15  21:00:00,1594384983.4424586 
 01/15  22:00:00,1492935180.63923 
 01/15  23:00:00,1399749677.2531366 
 01/15  24:00:00,1329742609.0701632 
 01/16  01:00:00,1279188065.583223 
 01/16  02:00:00,1279643252.3108985 
 01/16  03:00:00,1276994817.1556478 
 01/16  04:00:00,1274758998.9323342 
 01/16  05:00:00,1274168314.1927485 
 01/16  06:00:00,1339145792.9166396 
 01/16  07:00:00,1689185212.8653805 
 01/16  08:00:00,1647518221.1073508 
 01/16  09:00:00,1619436389.6575038 
 01/16  10:00:00,1500530335.3904788 
 01/16  11:00:00,1373865026.7909887 
 01/16  12:00:00,1457941750.5589185 
 01/16  13:00:00,1629219095.0339658 
 01/16  14:00:00,1730804945.4253237 
 01/16  15:00:00,1739302373.8069365 
 01/16  16:00:00,1564950755.0948844 
 01/16  17:00:00,1676369041.6813753 
 01/16  18:00:00,1849983210.1776052 
 01/16  19:00:00,1860345599.1446395 
 01/16  20:00:00,1717333246.2744188 
 01/16  21:00:00,1659031146.398159 
 01/16  22:00:00,1571536967.4042442 
 01/16  23:00:00,1450079652.0848563 
 01/16  24:00:00,1360266891.777966 
 01/17  01:00:00,1398771124.8389835 
 01/17  02:00:00,1396183095.4501252 
 01/17  03:00:00,1395540481.1507215 
 01/17  04:00:00,1393498653.5741 
 01/17  05:00:00,1390682655.5971 
 01/17  06:00:00,1537752088.5093343 
 01/17  07:00:00,2081084152.6479132 
 01/17  08:00:00,2213563061.7037497 
 01/17  09:00:00,3289771121.8829436 
 01/17  10:00:00,3192845071.8963404 
 01/17  11:00:00,3225867832.1643767 
 01/17  12:00:00,3338404500.633808 
 01/17  13:00:00,3226675827.5724554 
 01/17  14:00:00,3416717977.748391 
 01/17  15:00:00,3452724674.341008 
 01/17  16:00:00,3496490319.286479 
 01/17  17:00:00,3662362390.824556 
 01/17  18:00:00,2900071620.6516953 
 01/17  19:00:00,2652030473.156593 
 01/17  20:00:00,2463106755.0155406 
 01/17  21:00:00,2269442634.837016 
 01/17  22:00:00,2165445783.809635 
 01/17  23:00:00,1683205276.7376447 
 01/17  24:00:00,1546229123.7297173 
 01/18  01:00:00,1383480272.2272606 
 01/18  02:00:00,1375815106.0835984 
 01/18  03:00:00,1371998931.21092 
 01/18  04:00:00,1369294351.105905 
 01/18  05:00:00,1367804094.1765673 
 01/18  06:00:00,1497968158.1822283 
 01/18  07:00:00,2068147707.98431 
 01/18  08:00:00,2197472940.155988 
 01/18  09:00:00,3271756641.693941 
 01/18  10:00:00,3165200471.3535743 
 01/18  11:00:00,3157822455.3760934 
 01/18  12:00:00,3361838510.711076 
 01/18  13:00:00,3236973121.987492 
 01/18  14:00:00,3411141192.2719975 
 01/18  15:00:00,3454978814.8971825 
 01/18  16:00:00,3503292142.2990522 
 01/18  17:00:00,3679872428.535109 
 01/18  18:00:00,2903376580.194359 
 01/18  19:00:00,2642035932.1520405 
 01/18  20:00:00,2478489467.8442516 
 01/18  21:00:00,2271890445.7939467 
 01/18  22:00:00,2147085685.8645875 
 01/18  23:00:00,1683440697.650647 
 01/18  24:00:00,1544363216.6404967 
 01/19  01:00:00,1381216520.085546 
 01/19  02:00:00,1380997195.326458 
 01/19  03:00:00,1373986763.776943 
 01/19  04:00:00,1370862503.520855 
 01/19  05:00:00,1369556277.9337938 
 01/19  06:00:00,1487220928.4572601 
 01/19  07:00:00,2075705206.154694 
 01/19  08:00:00,2196392732.4145703 
 01/19  09:00:00,3281399446.8951283 
 01/19  10:00:00,3255118417.690587 
 01/19  11:00:00,3290401769.2845063 
 01/19  12:00:00,3385991806.0332923 
 01/19  13:00:00,3285996277.086331 
 01/19  14:00:00,3504516173.2021627 
 01/19  15:00:00,3544798439.8097367 
 01/19  16:00:00,3595927386.824125 
 01/19  17:00:00,3779699834.347102 
 01/19  18:00:00,2932517146.7265773 
 01/19  19:00:00,2682493036.709516 
 01/19  20:00:00,2531700060.606607 
 01/19  21:00:00,2357892669.6692834 
 01/19  22:00:00,2218570809.4169374 
 01/19  23:00:00,1727048725.7421143 
 01/19  24:00:00,1594089639.7041821 
 01/20  01:00:00,1427313287.109896 
 01/20  02:00:00,1409587682.4954927 
 01/20  03:00:00,1411071823.5344915 
 01/20  04:00:00,1407795731.4472437 
 01/20  05:00:00,1390236681.0951672 
 01/20  06:00:00,1535510645.6289055 
 01/20  07:00:00,2100695183.5552335 
 01/20  08:00:00,2213767938.377873 
 01/20  09:00:00,3374356304.1093655 
 01/20  10:00:00,3432473996.758746 
 01/20  11:00:00,3389531862.0832577 
 01/20  12:00:00,3489327611.0025334 
 01/20  13:00:00,3391446985.9417353 
 01/20  14:00:00,3762913357.8439426 
 01/20  15:00:00,3800767690.611507 
 01/20  16:00:00,3913442467.0130854 
 01/20  17:00:00,4151283291.351824 
 01/20  18:00:00,3075861413.4400105 
 01/20  19:00:00,2726593134.3602405 
 01/20  20:00:00,2586790373.749883 
 01/20  21:00:00,2467286809.251534 
 01/20  22:00:00,2369416569.103734 
 01/20  23:00:00,1789359600.6526074 
 01/20  24:00:00,1676978174.247869 
 01/21  01:00:00,1423529300.4678683 
 01/21  02:00:00,1418911246.6709423 
 01/21  03:00:00,1417539645.7512577 
 01/21  04:00:00,1409697774.0752892 
 01/21  05:00:00,1387983200.7554011 
 01/21  06:00:00,1533840651.9500916 
 01/21  07:00:00,2236995333.7212334 
 01/21  08:00:00,2153720078.2312193 
 01/21  09:00:00,2441195378.5250044 
 01/21  10:00:00,2417807012.1199107 
 01/21  11:00:00,2318469181.2605696 
 01/21  12:00:00,2342443822.9455013 
 01/21  13:00:00,2061594661.9140415 
 01/21  14:00:00,2042048814.1081617 
 01/21  15:00:00,2011250829.248354 
 01/21  16:00:00,1966807797.4542112 
 01/21  17:00:00,2112019496.4429193 
 01/21  18:00:00,2103074350.1232886 
 01/21  19:00:00,1912018733.1254728 
 01/21  20:00:00,1694981121.8501406 
 01/21  21:00:00,1689853108.2197328 
 01/21  22:00:00,1609326133.227883 
 01/21  23:00:00,1515129144.0624118 
 01/21  24:00:00,1418128191.010364 
 01/22  01:00:00,1369400531.2982216 
 01/22  02:00:00,1375620117.6856985 
 01/22  03:00:00,1353498198.4425945 
 01/22  04:00:00,1339208439.1219153 
 01/22  05:00:00,1338796689.492495 
 01/22  06:00:00,1403649527.3571045 
 01/22  07:00:00,1753306639.9112928 
 01/22  08:00:00,1713923413.4584212 
 01/22  09:00:00,1673433009.4181838 
 01/22  10:00:00,1538382984.4831753 
 01/22  11:00:00,1404393675.4161339 
 01/22  12:00:00,1451714349.8044128 
 01/22  13:00:00,1466733422.0170033 
 01/22  14:00:00,1470018423.2421844 
 01/22  15:00:00,1473468455.359562 
 01/22  16:00:00,1474503576.5655565 
 01/22  17:00:00,1636777221.6852572 
 01/22  18:00:00,1811506455.6732564 
 01/22  19:00:00,1820340126.835371 
 01/22  20:00:00,1687605813.761773 
 01/22  21:00:00,1681203559.443552 
 01/22  22:00:00,1557699741.6241016 
 01/22  23:00:00,1443276669.1081522 
 01/22  24:00:00,1361644802.073979 
 01/23  01:00:00,1383498894.9572623 
 01/23  02:00:00,1369313767.5792737 
 01/23  03:00:00,1368757445.6573493 
 01/23  04:00:00,1368049574.6293864 
 01/23  05:00:00,1367901077.0702384 
 01/23  06:00:00,1529576490.685115 
 01/23  07:00:00,2076269884.5377104 
 01/23  08:00:00,2212017617.4308577 
 01/23  09:00:00,3286217219.938885 
 01/23  10:00:00,3159487362.991398 
 01/23  11:00:00,2999881111.3310513 
 01/23  12:00:00,3043779708.9735913 
 01/23  13:00:00,2988552273.743197 
 01/23  14:00:00,3268394647.6851892 
 01/23  15:00:00,3326812740.724817 
 01/23  16:00:00,3352702204.072214 
 01/23  17:00:00,3531350135.6099935 
 01/23  18:00:00,2835226004.8773785 
 01/23  19:00:00,2576325902.5287237 
 01/23  20:00:00,2373358649.8196516 
 01/23  21:00:00,2248071823.0331383 
 01/23  22:00:00,2133708723.8566399 
 01/23  23:00:00,1692462810.1811643 
 01/23  24:00:00,1569753467.0716147 
 01/24  01:00:00,1395541504.172703 
 01/24  02:00:00,1400433200.871142 
 01/24  03:00:00,1394260171.2636883 
 01/24  04:00:00,1387219626.882195 
 01/24  05:00:00,1388070423.2389815 
 01/24  06:00:00,1538201617.4322958 
 01/24  07:00:00,2096173256.1611953 
 01/24  08:00:00,2215986038.0249777 
 01/24  09:00:00,3309884444.3421936 
 01/24  10:00:00,3197245851.924047 
 01/24  11:00:00,3202563824.1557393 
 01/24  12:00:00,3338308427.666786 
 01/24  13:00:00,3220853608.3856816 
 01/24  14:00:00,3410214928.0710797 
 01/24  15:00:00,3452163328.277219 
 01/24  16:00:00,3445893924.242464 
 01/24  17:00:00,3571338750.287485 
 01/24  18:00:00,2820873551.683076 
 01/24  19:00:00,2587051562.560648 
 01/24  20:00:00,2452025369.057517 
 01/24  21:00:00,2316175399.2299542 
 01/24  22:00:00,2177337055.880392 
 01/24  23:00:00,1721696618.9731383 
 01/24  24:00:00,1588993072.2759938 
 01/25  01:00:00,1401672727.357103 
 01/25  02:00:00,1390296077.7643795 
 01/25  03:00:00,1388133354.3014412 
 01/25  04:00:00,1387384614.0432873 
 01/25  05:00:00,1387815285.3512223 
 01/25  06:00:00,1504428632.01168 
 01/25  07:00:00,2092469586.989767 
 01/25  08:00:00,2235911033.334539 
 01/25  09:00:00,3296258473.721235 
 01/25  10:00:00,3160296097.1267905 
 01/25  11:00:00,3132842965.8634477 
 01/25  12:00:00,3308434935.875882 
 01/25  13:00:00,3207158134.917307 
 01/25  14:00:00,3374843900.506643 
 01/25  15:00:00,3402772825.355651 
 01/25  16:00:00,3421261079.285111 
 01/25  17:00:00,3577602121.3267913 
 01/25  18:00:00,2807190248.379462 
 01/25  19:00:00,2571415948.3462305 
 01/25  20:00:00,2375994388.0670705 
 01/25  21:00:00,2199737802.246786 
 01/25  22:00:00,2079441088.9737976 
 01/25  23:00:00,1691241013.466312 
 01/25  24:00:00,1568358151.135352 
 01/26  01:00:00,1386940470.705683 
 01/26  02:00:00,1379975147.696336 
 01/26  03:00:00,1374972421.9259467 
 01/26  04:00:00,1372941133.1399894 
 01/26  05:00:00,1372539725.9156022 
 01/26  06:00:00,1491152834.1442738 
 01/26  07:00:00,2072067122.003706 
 01/26  08:00:00,2194697320.3130403 
 01/26  09:00:00,3266284587.7857804 
 01/26  10:00:00,3160198280.583454 
 01/26  11:00:00,3097358286.7123914 
 01/26  12:00:00,3262675901.8010445 
 01/26  13:00:00,3215154542.393721 
 01/26  14:00:00,3405545211.4450293 
 01/26  15:00:00,3442450419.8222337 
 01/26  16:00:00,3472993432.5466967 
 01/26  17:00:00,3627093320.53044 
 01/26  18:00:00,2833423822.010603 
 01/26  19:00:00,2567989325.444387 
 01/26  20:00:00,2348107129.2987795 
 01/26  21:00:00,2174285955.246199 
 01/26  22:00:00,2052856244.9829617 
 01/26  23:00:00,1667102776.9277692 
 01/26  24:00:00,1545377309.494346 
 01/27  01:00:00,1377004570.5159576 
 01/27  02:00:00,1373404462.6143532 
 01/27  03:00:00,1371754045.3279088 
 01/27  04:00:00,1370529768.4794157 
 01/27  05:00:00,1368290223.601001 
 01/27  06:00:00,1485677906.352859 
 01/27  07:00:00,2051283554.1085842 
 01/27  08:00:00,2194970203.249173 
 01/27  09:00:00,3267513653.9120483 
 01/27  10:00:00,3155893952.9470067 
 01/27  11:00:00,3044421642.228004 
 01/27  12:00:00,3183601259.786438 
 01/27  13:00:00,3139304493.446101 
 01/27  14:00:00,3325363993.1114492 
 01/27  15:00:00,3388175111.123747 
 01/27  16:00:00,3425153131.0487614 
 01/27  17:00:00,3584533414.8871374 
 01/27  18:00:00,2805409006.5971966 
 01/27  19:00:00,2525500655.0919366 
 01/27  20:00:00,2304721187.0013175 
 01/27  21:00:00,2163902197.6069083 
 01/27  22:00:00,2054024297.8602629 
 01/27  23:00:00,1659616253.8103516 
 01/27  24:00:00,1542358619.4875484 
 01/28  01:00:00,1285210327.9875398 
 01/28  02:00:00,1280867875.6225488 
 01/28  03:00:00,1278636745.745919 
 01/28  04:00:00,1277397033.490635 
 01/28  05:00:00,1275436032.8964465 
 01/28  06:00:00,1413420472.0033455 
 01/28  07:00:00,2049920413.2655072 
 01/28  08:00:00,2002920035.6793504 
 01/28  09:00:00,2262292080.899155 
 01/28  10:00:00,2140491977.4829712 
 01/28  11:00:00,1995882041.9954786 
 01/28  12:00:00,2135622720.521595 
 01/28  13:00:00,1971999902.2594993 
 01/28  14:00:00,2018738918.5640976 
 01/28  15:00:00,2032844193.3533533 
 01/28  16:00:00,2033436527.7359812 
 01/28  17:00:00,2186593618.276061 
 01/28  18:00:00,2102284922.5734682 
 01/28  19:00:00,1896013706.6050837 
 01/28  20:00:00,1621234624.8876755 
 01/28  21:00:00,1608354276.0638394 
 01/28  22:00:00,1503461309.6198237 
 01/28  23:00:00,1401765161.433268 
 01/28  24:00:00,1332584004.7027483 
 01/29  01:00:00,1280143881.19636 
 01/29  02:00:00,1278435982.7467935 
 01/29  03:00:00,1277444377.4247134 
