Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Wetbulb Globe Temperature [C](Hourly),ZONE ONE:Zone Operative Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly) 
 01/01  13:00:00,3.8000000000000003,7.625,5.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4067673514053936,-5.138778027572594,-2.4602715401678115,21.183590557713305,7.090003471814214,-2.5137757289302294 
 01/01  14:00:00,3.7124999999999995,7.375,4.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2384600078062604,-5.018808894796047,-2.2876903100323656,48.659905871813244,58.09665420435546,-2.3369206122584707 
 01/01  15:00:00,3.675,7.625,3.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1621189780796257,-4.967325861887941,-2.2177399824690127,17.725395057511292,14.832372274938763,-2.2733609868583997 
 01/01  16:00:00,2.8374999999999995,5.5,1.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.132223638567341,-4.9607187862526,-2.2291118664916034,-33.90996725478484,-15.578007445916112,-2.3260000944158667 
 01/01  17:00:00,0.45000000000000007,2.125,0.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.55248482829581,-5.294276954026261,-2.7391383692765316,-222.360832838228,-204.41036635699518,-2.925791910257253 
 01/01  18:00:00,-1.6,0.375,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1421295044877384,-5.690117328799571,-3.22924530170775,-105.33335511618003,-130.3506965605404,-3.316361098927762 
 01/01  19:00:00,-3.95,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.423894824116625,-5.888515127964288,-3.4940015260006922,-94.28871638864887,-88.79455294024253,-3.5641082278847604 
 01/01  20:00:00,-5.375,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.691097243217531,-6.077495145042832,-3.741321124770909,-63.81651601078151,-70.87054572179338,-3.7915450063242866 
 01/01  21:00:00,-5.9125,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8981111246182265,-6.23576758307263,-3.963259632517575,-81.72193230456419,-74.46683353523952,-4.028408140416923 
 01/01  22:00:00,-6.1,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.130125752789646,-6.399203418318684,-4.176100390051076,-46.74607739402689,-56.831946245381395,-4.222075027312505 
 01/01  23:00:00,-6.1,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.217674149340983,-6.452860039836363,-4.248225621702263,-15.277944677455285,-17.064470813051905,-4.278777094063542 
 01/01  24:00:00,-5.4125,0.0,0.0,0.0,3.000000,0.0,,,,-3.900062381659314,1.4978980660975296,1.2231745036494224,7.065129441858429,-4.237088803170658,-3.7056147417638137,1.076837110566597,8.297087897225286,-4.4023867981851685,-6.181702031073859,0.9953405318438245,8.393012663961336,-4.28164787967888,-4.4521449288145805,1.0752616506836812,7.177193506773686,-4.28784846697611,-4.287831026367821,1.0806725593780255,-4.332272922709195,-7.37848681526543,0.8792856062045415,9.46457715165333,-4.208126688081771,-6.4438043035693875,-4.2102328067550765,23.426890085523198,17.94887242111505,-4.212338925428381 
 01/02  01:00:00,-5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1571288085379,-6.415825075565149,-4.172258895711028,-0.9769500441699552,4.774072390008682,-4.187388982884155 
 01/02  02:00:00,-5.375,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.212533081454566,-6.459946769441284,-4.24682833020545,-32.70073768445923,-29.125868761878614,-4.281123578956334 
 01/02  03:00:00,-5.225,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.304794926311494,-6.5252953238408775,-4.327746930743862,-16.97907024617866,-21.4218494463637,-4.3506989351762275 
 01/02  04:00:00,-6.062499999999999,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.392687065718671,-6.598421648647076,-4.439153825063162,-50.34976439317381,-42.57939418630353,-4.485620584407652 
 01/02  05:00:00,-6.012499999999999,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.553189939063884,-6.703268688164927,-4.593103221167883,-40.899050405932556,-44.96190531965682,-4.633016503271882 
 01/02  06:00:00,-5.9125,0.625,0.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.682469149115738,-6.804214057092485,-4.725502534147411,-43.197796424493006,-42.32330060072229,-4.768535919179087 
 01/02  07:00:00,-5.0375,1.625,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.769122059088623,-6.867811532291995,-4.7878861468893525,-4.33422927999375,-11.303524873737086,-4.806650234690081 
 01/02  08:00:00,-3.3999999999999995,6.375,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.671901541706117,-6.7705026205329935,-4.6132885162498525,90.46311601886899,71.37610944045994,-4.5546754907935885 
 01/02  09:00:00,-2.1125,7.75,4.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.105416952648791,-6.313504421270174,-3.94097725295994,283.2295688038537,252.44569494815835,-3.776537553271089 
 01/02  10:00:00,0.7375000000000002,7.625,5.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.910305652040103,-5.430570579076459,-2.729252907809082,470.8571916226186,467.1340475034467,-2.5482001635780613 
 01/02  11:00:00,4.324999999999999,6.125,4.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5975329895067065,-4.52555192448601,-1.5545415004724172,293.86610462892946,330.6852421018794,-1.5115500114381286 
 01/02  12:00:00,7.6625,6.875,4.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0435440428331122,-4.147183604056139,-1.0551619742739418,127.88104732423946,120.92404906675121,-1.0667799057147713 
 01/02  13:00:00,9.2125,8.625,5.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.606859736558564,-3.8396078003944383,-0.6240832723550962,126.8302464075388,136.20938474300885,-0.6413068081516283 
 01/02  14:00:00,9.4,9.0,7.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2581878892502779,-3.593501539101948,-0.26587519110238045,117.15202843204756,108.44423022248364,-0.273562492954483 
 01/02  15:00:00,9.775,9.0,7.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19037859714022495,-3.2882769638653517,0.15581111703115344,106.98718173022806,127.59054840649956,0.1212436369220819 
 01/02  16:00:00,8.625,8.375,5.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19775040120564613,-3.3132404695868583,0.06271452766109803,-88.33524026094565,-70.85186693169089,-0.07232134588345009 
 01/02  17:00:00,7.1125,6.75,3.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27920585783440804,-3.664645449317492,-0.45163484250162245,-202.0216557242847,-191.3797758092403,-0.6240638271688368 
 01/02  18:00:00,5.6375,6.0,2.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7799328003070174,-3.9895228757825443,-0.8475120824255193,-71.24553158220009,-96.60622702445082,-0.9150913645440213 
 01/02  19:00:00,2.5625,3.5,1.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9840647689120412,-4.135492756171467,-1.0734330644211576,-87.70383545137139,-75.96324386523355,-1.162801359930274 
 01/02  20:00:00,0.4125,2.625,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2770298975053131,-4.3347517366448445,-1.3386122189252063,-77.50988389160568,-84.85245978608111,-1.4001945403450993 
 01/02  21:00:00,-1.0625,1.125,0.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4895621778556567,-4.484069170793392,-1.5391225057241578,-62.4167784534682,-61.814169635990275,-1.5886828335926588 
 01/02  22:00:00,-1.3249999999999997,0.625,0.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6655072073682433,-4.609444314815537,-1.7059102336946181,-46.39398208469356,-48.69068269056177,-1.7463132600209932 
 01/02  23:00:00,-0.03750000000000003,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8320013410568006,-4.725532583742688,-1.8824952287445407,-63.295066117209295,-59.97637180747327,-1.9329891164322808 
 01/02  24:00:00,0.225,1.0,0.375,0.0,4.000000,0.0,,,,-1.7508821488257658,7.684739976669758,1.0808128855437837,8.06540723865032,-2.069684052218467,2.576710616932012,0.9600692968004974,8.784480512398618,-2.2338971265190715,0.09420084063675827,0.87822259341436,8.640260173957724,-2.1162066600084612,1.8866297646884955,0.9448539338668479,7.863752561365608,-2.8240163974651775,-2.847466766234526,0.8968514220893248,-2.3455101534778637,-0.2564252905400031,0.7846605643960892,10.142597165796978,-1.9408459149949604,-4.79251038019035,-1.9447206718207686,11.888529280555433,-1.8380390458463234,-1.948595428646577 
 01/03  01:00:00,-0.375,0.375,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8901924613021375,-4.762724986399677,-1.9007424381341413,2.9406891853687718,8.69725275501802,-1.9112924149661448 
 01/03  02:00:00,-0.6,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8908128485356728,-4.761943451646306,-1.8972767061992677,2.682541454248012,0.8334782393834593,-1.903740563862863 
 01/03  03:00:00,-0.9125000000000001,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9000246715491653,-4.769770677313792,-1.91894056514977,-13.642527902140603,-10.038869967549873,-1.9378564587503742 
 01/03  04:00:00,-1.4749999999999999,1.25,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9652972387957912,-4.812122137526494,-1.9910975697245061,-24.173067124670503,-23.817643923213176,-2.016897900653221 
 01/03  05:00:00,-1.7,2.625,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0330486804084615,-4.846107356427259,-2.0531404899656986,-15.908215345688246,-17.66099473794619,-2.073232299522936 
 01/03  06:00:00,-1.3249999999999997,4.25,1.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0490876034039145,-4.850685990258313,-2.0493637082050027,8.060472661560715,4.413419744061883,-2.049639813006091 
 01/03  07:00:00,-1.1,6.875,4.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0113931807787013,-4.822384931348111,-2.0059126370398506,11.229410351598196,12.140587509289333,-2.000432093301 
 01/03  08:00:00,-0.7875000000000001,7.375,5.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.948881260998075,-4.760517591861969,-1.8999314380639465,45.4677839891382,35.39301754141697,-1.8509816151298182 
 01/03  09:00:00,1.8375,7.625,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5642521551322768,-4.454346098608871,-1.4340599522862185,211.17814989258102,186.56080853765127,-1.303867749440161 
 01/03  10:00:00,4.737499999999999,7.375,5.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7419944304932042,-3.8664939189828225,-0.6293558772649623,282.30008102922386,281.2876360222988,-0.5167173240367204 
 01/03  11:00:00,5.9125,6.375,4.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26152821000277005,-3.147297908456003,0.3780486232287886,380.9647450508513,365.6224027434253,0.4945690364548072 
 01/03  12:00:00,6.475,3.5,1.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9589651978839281,-2.71864613289596,0.8814457448935247,36.45811221559998,88.17851600289265,0.8039262919031214 
 01/03  13:00:00,6.012499999999999,3.25,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8851534931150279,-2.7652922883980566,0.825136343912766,9.262511415119702,-13.63121617989034,0.7651191947105043 
 01/03  14:00:00,4.975,4.625,1.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9744560623592826,-2.703144701497671,0.90907250845027,14.256398670642506,24.191935509812893,0.8436889545412576 
 01/03  15:00:00,3.1624999999999996,5.625,2.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9446880201843704,-2.73116711809623,0.8549378403206911,-34.46525978397427,-27.956436202927545,0.7651876604570118 
 01/03  16:00:00,0.675,8.5,4.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6599477957012857,-2.94230740751201,0.519226710282427,-146.29875743885168,-133.093203843894,0.3785056248635682 
 01/03  17:00:00,-1.9875,10.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10783444188389327,-3.32692143581033,-0.040035304482295045,-199.06601524857197,-193.92557012187564,-0.18790505084848336 
 01/03  18:00:00,-4.75,10.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.474481355427972,-3.7224736383982977,-0.5697878346593721,-151.92729028873245,-161.82753909829762,-0.6650943138907721 
 01/03  19:00:00,-5.674999999999999,10.0,5.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8339389164734463,-3.968182035793384,-0.8946341361890222,-73.8481653956342,-84.08174561588125,-0.9553293559045979 
 01/03  20:00:00,-6.6,10.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0819095040290811,-4.150217768325919,-1.1619216229471152,-101.33568774420264,-92.7283590738058,-1.2419337418651495 
 01/03  21:00:00,-8.2,10.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4077103299743692,-4.389386941519406,-1.4857846843007343,-94.46103383337353,-98.57866792168326,-1.5638590386270994 
 01/03  22:00:00,-9.4875,10.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6745781617862538,-4.580334878159992,-1.7464753220681901,-75.57891254429643,-77.56218110617905,-1.8183724823501264 
 01/03  23:00:00,-10.8375,10.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9382123599437882,-4.764055615892245,-2.021750891517983,-96.87472187716321,-92.9162708250434,-2.1052894230921773 
 01/03  24:00:00,-12.025,10.0,8.5,0.0,5.000000,0.0,,,,-0.6678517754563459,4.417343797363385,1.0482003904968913,10.525758890625609,-0.9849665324824,-0.4859391397592317,0.9343318733029374,9.245300480717288,-1.1013050610558517,-2.2463820823895015,0.8690579888793258,10.068001553660578,-1.016536800932164,-1.0750349417501464,0.9019420818881901,11.289643686662538,-1.0708294649254206,-1.0730165073819777,0.9363583316763867,-1.049110474330938,-2.705880288960318,0.7781867133516114,13.009376135591106,-2.1994747253922737,-4.9521684264595,-2.265782387916356,-59.90494185254758,-67.17259337543393,-2.3320900504404385 
 01/04  01:00:00,-13.0875,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4199815695308287,-5.122193623180152,-2.5035179726495196,-93.69450003255959,-85.47202193216441,-2.5870543757682105 
 01/04  02:00:00,-15.1875,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7830892131087994,-5.390615209274166,-2.8857606782008265,-133.7824293022623,-129.94083639064618,-2.9884321432928536 
 01/04  03:00:00,-16.2,10.0,9.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.165267318341201,-5.664110162761845,-3.254364604976108,-97.59260219622612,-105.49814839104751,-3.343461891611016 
 01/04  04:00:00,-15.2625,6.25,5.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4524815575682943,-5.87328039474492,-3.540842017789706,-90.85918920331858,-90.25489169392756,-3.629202478011118 
 01/04  05:00:00,-14.3875,4.0,2.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7444042618914004,-6.079147144609266,-3.8380024266578996,-100.69534290231465,-97.79742402742076,-3.9316005914243988 
 01/04  06:00:00,-13.6375,1.5,0.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0577242275089125,-6.307464313781264,-4.148707788105007,-94.26730968072314,-96.92419357273525,-4.2396913487011005 
 01/04  07:00:00,-12.3625,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.372875196050587,-6.544991118345665,-4.472522096845968,-112.05590585367645,-108.9998693340793,-4.572168997641348 
 01/04  08:00:00,-10.1125,0.625,0.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.391011139827795,-6.518081232405858,-4.348619350329795,145.51943492890507,106.26208611838732,-4.306227560831796 
 01/04  09:00:00,-7.1,4.75,4.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.76778014964236,-6.024338285078748,-3.6335516564687005,224.12453936456726,217.7417682450121,-3.4993231632950406 
 01/04  10:00:00,-2.5250000000000004,8.875,7.875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.971218903285283,-5.4366521663678515,-2.8349895065172843,252.98251519913637,260.42656828880735,-2.6987601097492866 
 01/04  11:00:00,1.8749999999999998,10.0,9.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.354345421267514,-5.012952174304508,-2.2798358506167977,162.92043003633398,164.32499439063722,-2.2053262799660813 
 01/04  12:00:00,3.6125,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8130430550611265,-4.626992547118205,-1.748914336523982,170.27339620129848,175.21123969245784,-1.684785617986838 
 01/04  13:00:00,6.425,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.430602911067335,-4.367663450622804,-1.4199966047849943,81.8462791319829,87.97139752474985,-1.4093902985026538 
 01/04  14:00:00,9.0,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1493369548709282,-4.166763984484238,-1.1295056305129467,103.56524702907811,99.4777591326703,-1.1096743061549652 
 01/04  15:00:00,10.5375,9.375,9.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7986086879847273,-3.920871016208454,-0.7850912567285699,109.28899304629259,112.39934007603676,-0.7715738254724125 
 01/04  16:00:00,10.4125,9.625,8.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5949275296325824,-3.7968585862144097,-0.6321994652320745,18.925694871580927,29.192909336244984,-0.6694714008315664 
 01/04  17:00:00,8.25,9.375,7.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6443891840014428,-3.8642606166908378,-0.7536823917521303,-90.27488205175445,-61.872374110429064,-0.8629755995028174 
 01/04  18:00:00,7.2,8.375,7.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9156983804175169,-4.034481187101099,-0.9361582950647919,-5.24337003222265,-40.57754138467865,-0.9566182097120669 
 01/04  19:00:00,6.512499999999999,7.375,6.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8561045349491443,-3.993797029186382,-0.8818880463113374,5.760246874038149,15.754118786865204,-0.9076715576735309 
 01/04  20:00:00,6.7875,5.125,4.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8469137836601619,-3.987215285605655,-0.8639533759687679,12.39433471317877,7.5291706078312615,-0.8809929682773736 
 01/04  21:00:00,6.512499999999999,4.625,4.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7818505492854905,-3.9395583156201868,-0.7886275960517293,23.83188232747728,23.926363480367193,-0.7954046428179682 
 01/04  22:00:00,5.7875,3.75,3.75,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7416179449528623,-3.9230290962796883,-0.7711484512364394,-5.284468147150011,0.4220843853295033,-0.8006789575200167 
 01/04  23:00:00,5.225,2.375,2.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7887412619277041,-3.9626437112808417,-0.8201969511016205,-16.903901805831932,-17.826405657377265,-0.8516526402755367 
