Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/12  05:00:00,36545657.73145594,836730825.2177298 
 01/12  06:00:00,38137022.65685523,836730825.2177298 
 01/12  07:00:00,88762776.67582561,941093873.7368754 
 01/12  08:00:00,281391229.67348635,941093873.7368754 
 01/12  09:00:00,779179975.2486235,1524590982.1435692 
 01/12  10:00:00,766707522.1618004,1524590982.1435692 
 01/12  11:00:00,766134049.2768176,1524590982.1435692 
 01/12  12:00:00,766134049.2768176,1524590982.1435692 
 01/12  13:00:00,766134049.2768176,1407891560.4622302 
 01/12  14:00:00,766134049.2768176,1524590982.1435692 
 01/12  15:00:00,766134049.2768176,1524590982.1435692 
 01/12  16:00:00,766837031.9472147,1524590982.1435692 
 01/12  17:00:00,781484568.7168238,1524590982.1435692 
 01/12  18:00:00,481789573.18660337,1057793295.4182142 
 01/12  19:00:00,296653033.108991,941093873.7368754 
 01/12  20:00:00,296653033.108991,941093873.7368754 
 01/12  21:00:00,197765105.62937143,941093873.7368754 
 01/12  22:00:00,197765105.62937143,941093873.7368754 
 01/12  23:00:00,98887927.4796197,941093873.7368754 
 01/12  24:00:00,49438589.07487582,941093873.7368754 
 01/13  01:00:00,38694479.62202592,836730825.2177298 
 01/13  02:00:00,36545657.73145594,836730825.2177298 
 01/13  03:00:00,36545657.73145594,836730825.2177298 
 01/13  04:00:00,36545657.73145594,836730825.2177298 
 01/13  05:00:00,36545657.73145594,836730825.2177298 
 01/13  06:00:00,38137022.65685523,836730825.2177298 
 01/13  07:00:00,88762776.67582561,941093873.7368754 
 01/13  08:00:00,279741803.8668974,941093873.7368754 
 01/13  09:00:00,776474939.3680917,1524590982.1435692 
 01/13  10:00:00,766186451.8709826,1524590982.1435692 
 01/13  11:00:00,766134049.2768176,1524590982.1435692 
 01/13  12:00:00,766134049.2768176,1524590982.1435692 
 01/13  13:00:00,766134049.2768176,1407891560.4622302 
 01/13  14:00:00,766134049.2768176,1524590982.1435692 
 01/13  15:00:00,766134049.2768176,1524590982.1435692 
 01/13  16:00:00,767486668.1944387,1524590982.1435692 
 01/13  17:00:00,781935193.1257926,1524590982.1435692 
 01/13  18:00:00,481216874.3907548,1057793295.4182142 
 01/13  19:00:00,296653033.108991,941093873.7368754 
 01/13  20:00:00,296653033.108991,941093873.7368754 
 01/13  21:00:00,197765105.62937143,941093873.7368754 
 01/13  22:00:00,197765105.62937143,941093873.7368754 
 01/13  23:00:00,98887927.4796197,941093873.7368754 
 01/13  24:00:00,49438589.07487582,941093873.7368754 
 01/14  01:00:00,38694479.62202592,746122165.6661776 
 01/14  02:00:00,36545657.73145594,746122165.6661776 
 01/14  03:00:00,36545657.73145594,746122165.6661776 
 01/14  04:00:00,36545657.73145594,746122165.6661776 
 01/14  05:00:00,36545657.73145594,746122165.6661776 
 01/14  06:00:00,36545657.73145594,746122165.6661776 
 01/14  07:00:00,88762776.67582561,941093873.7368754 
 01/14  08:00:00,93198490.43548235,941093873.7368754 
 01/14  09:00:00,258116385.82081038,1057793295.4182142 
 01/14  10:00:00,255387572.82581478,1057793295.4182142 
 01/14  11:00:00,255377965.44577354,1057793295.4182142 
 01/14  12:00:00,255377965.44577354,1057793295.4182142 
 01/14  13:00:00,127688982.72288677,882744162.896206 
 01/14  14:00:00,127688982.72288677,882744162.896206 
 01/14  15:00:00,127688982.72288677,882744162.896206 
 01/14  16:00:00,127793269.82502551,882744162.896206 
 01/14  17:00:00,130101456.76794404,882744162.896206 
 01/14  18:00:00,48042695.07907109,824394452.0555365 
 01/14  19:00:00,49438589.07487582,824394452.0555365 
 01/14  20:00:00,38694479.62202592,746122165.6661776 
 01/14  21:00:00,36545657.73145594,746122165.6661776 
 01/14  22:00:00,36545657.73145594,746122165.6661776 
 01/14  23:00:00,36545657.73145594,746122165.6661776 
 01/14  24:00:00,36545657.73145594,746122165.6661776 
 01/15  01:00:00,36545657.73145594,746122165.6661776 
 01/15  02:00:00,36545657.73145594,746122165.6661776 
 01/15  03:00:00,36545657.73145594,746122165.6661776 
 01/15  04:00:00,36545657.73145594,746122165.6661776 
 01/15  05:00:00,36545657.73145594,746122165.6661776 
 01/15  06:00:00,36545657.73145594,746122165.6661776 
 01/15  07:00:00,47289767.18430585,824394452.0555365 
 01/15  08:00:00,46509080.861512676,824394452.0555365 
 01/15  09:00:00,42879754.29016943,824394452.0555365 
 01/15  10:00:00,42559924.65578557,824394452.0555365 
 01/15  11:00:00,42559924.65578557,824394452.0555365 
 01/15  12:00:00,42559924.65578557,824394452.0555365 
 01/15  13:00:00,42559924.65578557,824394452.0555365 
 01/15  14:00:00,42559924.65578557,824394452.0555365 
 01/15  15:00:00,42559924.65578557,824394452.0555365 
 01/15  16:00:00,42562922.70869906,824394452.0555365 
 01/15  17:00:00,43216086.873166546,824394452.0555365 
 01/15  18:00:00,47925258.20126578,824394452.0555365 
 01/15  19:00:00,38694479.62202592,746122165.6661776 
 01/15  20:00:00,36545657.73145594,746122165.6661776 
 01/15  21:00:00,36545657.73145594,746122165.6661776 
 01/15  22:00:00,36545657.73145594,746122165.6661776 
 01/15  23:00:00,36545657.73145594,746122165.6661776 
 01/15  24:00:00,36545657.73145594,746122165.6661776 
 01/16  01:00:00,36545657.73145594,746122165.6661776 
 01/16  02:00:00,36545657.73145594,746122165.6661776 
 01/16  03:00:00,36545657.73145594,746122165.6661776 
 01/16  04:00:00,36545657.73145594,746122165.6661776 
 01/16  05:00:00,36545657.73145594,746122165.6661776 
 01/16  06:00:00,36545657.73145594,746122165.6661776 
 01/16  07:00:00,47289767.18430585,824394452.0555365 
 01/16  08:00:00,46586628.68239051,824394452.0555365 
 01/16  09:00:00,42953124.33818798,824394452.0555365 
 01/16  10:00:00,42559924.65578557,824394452.0555365 
 01/16  11:00:00,42559924.65578557,824394452.0555365 
 01/16  12:00:00,42559924.65578557,824394452.0555365 
 01/16  13:00:00,42559924.65578557,824394452.0555365 
 01/16  14:00:00,42559924.65578557,824394452.0555365 
 01/16  15:00:00,42559924.65578557,824394452.0555365 
 01/16  16:00:00,42595868.109592445,824394452.0555365 
 01/16  17:00:00,43196003.13678245,824394452.0555365 
 01/16  18:00:00,48215332.255736396,824394452.0555365 
 01/16  19:00:00,38694479.62202592,746122165.6661776 
 01/16  20:00:00,36545657.73145594,746122165.6661776 
 01/16  21:00:00,36545657.73145594,746122165.6661776 
 01/16  22:00:00,36545657.73145594,746122165.6661776 
 01/16  23:00:00,36545657.73145594,746122165.6661776 
 01/16  24:00:00,36545657.73145594,746122165.6661776 
 01/17  01:00:00,36545657.73145594,836730825.2177298 
 01/17  02:00:00,36545657.73145594,836730825.2177298 
 01/17  03:00:00,36545657.73145594,836730825.2177298 
 01/17  04:00:00,36545657.73145594,836730825.2177298 
 01/17  05:00:00,36545657.73145594,836730825.2177298 
 01/17  06:00:00,38137022.65685523,836730825.2177298 
 01/17  07:00:00,88762776.67582561,941093873.7368754 
 01/17  08:00:00,279605743.28068507,941093873.7368754 
 01/17  09:00:00,775215071.474081,1524590982.1435692 
 01/17  10:00:00,766182477.3116276,1524590982.1435692 
 01/17  11:00:00,766134049.2768176,1524590982.1435692 
 01/17  12:00:00,766134049.2768176,1524590982.1435692 
 01/17  13:00:00,766134049.2768176,1407891560.4622302 
 01/17  14:00:00,766134049.2768176,1524590982.1435692 
 01/17  15:00:00,766134049.2768176,1524590982.1435692 
 01/17  16:00:00,766727534.6529683,1524590982.1435692 
 01/17  17:00:00,778384495.6751958,1524590982.1435692 
 01/17  18:00:00,479693722.5344283,1057793295.4182142 
 01/17  19:00:00,296653033.108991,941093873.7368754 
 01/17  20:00:00,296653033.108991,941093873.7368754 
 01/17  21:00:00,197765105.62937143,941093873.7368754 
 01/17  22:00:00,197765105.62937143,941093873.7368754 
 01/17  23:00:00,98887927.4796197,941093873.7368754 
 01/17  24:00:00,49438589.07487582,941093873.7368754 
 01/18  01:00:00,38694479.62202592,836730825.2177298 
 01/18  02:00:00,36545657.73145594,836730825.2177298 
 01/18  03:00:00,36545657.73145594,836730825.2177298 
 01/18  04:00:00,36545657.73145594,836730825.2177298 
 01/18  05:00:00,36545657.73145594,836730825.2177298 
 01/18  06:00:00,38137022.65685523,836730825.2177298 
 01/18  07:00:00,88762776.67582561,941093873.7368754 
 01/18  08:00:00,279389405.0875506,941093873.7368754 
 01/18  09:00:00,774930582.9675233,1524590982.1435692 
 01/18  10:00:00,766163698.728266,1524590982.1435692 
 01/18  11:00:00,766134049.2768176,1524590982.1435692 
 01/18  12:00:00,766134049.2768176,1524590982.1435692 
 01/18  13:00:00,766134049.2768176,1407891560.4622302 
 01/18  14:00:00,766134049.2768176,1524590982.1435692 
 01/18  15:00:00,766134049.2768176,1524590982.1435692 
 01/18  16:00:00,766732902.0920287,1524590982.1435692 
 01/18  17:00:00,778508445.4637283,1524590982.1435692 
 01/18  18:00:00,479663212.270558,1057793295.4182142 
 01/18  19:00:00,296653033.108991,941093873.7368754 
 01/18  20:00:00,296653033.108991,941093873.7368754 
 01/18  21:00:00,197765105.62937143,941093873.7368754 
 01/18  22:00:00,197765105.62937143,941093873.7368754 
 01/18  23:00:00,98887927.4796197,941093873.7368754 
 01/18  24:00:00,49438589.07487582,941093873.7368754 
 01/19  01:00:00,38694479.62202592,836730825.2177298 
 01/19  02:00:00,36545657.73145594,836730825.2177298 
 01/19  03:00:00,36545657.73145594,836730825.2177298 
 01/19  04:00:00,36545657.73145594,836730825.2177298 
 01/19  05:00:00,36545657.73145594,836730825.2177298 
 01/19  06:00:00,38137022.65685523,836730825.2177298 
 01/19  07:00:00,88762776.67582561,941093873.7368754 
 01/19  08:00:00,279533437.3214237,941093873.7368754 
 01/19  09:00:00,775160869.6256592,1524590982.1435692 
 01/19  10:00:00,766182596.7834194,1524590982.1435692 
 01/19  11:00:00,766134049.2768176,1524590982.1435692 
 01/19  12:00:00,766134049.2768176,1524590982.1435692 
 01/19  13:00:00,766134049.2768176,1407891560.4622302 
 01/19  14:00:00,766134049.2768176,1524590982.1435692 
 01/19  15:00:00,766134049.2768176,1524590982.1435692 
 01/19  16:00:00,766182310.0143842,1524590982.1435692 
 01/19  17:00:00,778018220.7613307,1524590982.1435692 
 01/19  18:00:00,479586585.8639555,1057793295.4182142 
 01/19  19:00:00,296653033.108991,941093873.7368754 
 01/19  20:00:00,296653033.108991,941093873.7368754 
 01/19  21:00:00,197765105.62937143,941093873.7368754 
 01/19  22:00:00,197765105.62937143,941093873.7368754 
 01/19  23:00:00,98887927.4796197,941093873.7368754 
 01/19  24:00:00,49438589.07487582,941093873.7368754 
 01/20  01:00:00,38694479.62202592,836730825.2177298 
 01/20  02:00:00,36545657.73145594,836730825.2177298 
 01/20  03:00:00,36545657.73145594,836730825.2177298 
 01/20  04:00:00,36545657.73145594,836730825.2177298 
 01/20  05:00:00,36545657.73145594,836730825.2177298 
 01/20  06:00:00,38137022.65685523,836730825.2177298 
 01/20  07:00:00,88762776.67582561,941093873.7368754 
 01/20  08:00:00,278693425.7266906,941093873.7368754 
 01/20  09:00:00,769888243.8619938,1524590982.1435692 
 01/20  10:00:00,766134049.2768176,1524590982.1435692 
 01/20  11:00:00,766134049.2768176,1524590982.1435692 
 01/20  12:00:00,766134049.2768176,1524590982.1435692 
 01/20  13:00:00,766134049.2768176,1407891560.4622302 
 01/20  14:00:00,766134049.2768176,1524590982.1435692 
 01/20  15:00:00,766134049.2768176,1524590982.1435692 
 01/20  16:00:00,766134049.2768176,1524590982.1435692 
 01/20  17:00:00,775806757.5796138,1524590982.1435692 
 01/20  18:00:00,478641699.0951717,1057793295.4182142 
 01/20  19:00:00,296653033.108991,941093873.7368754 
 01/20  20:00:00,296653033.108991,941093873.7368754 
 01/20  21:00:00,197765105.62937143,941093873.7368754 
 01/20  22:00:00,197765105.62937143,941093873.7368754 
 01/20  23:00:00,98887927.4796197,941093873.7368754 
 01/20  24:00:00,49438589.07487582,941093873.7368754 
 01/21  01:00:00,38694479.62202592,746122165.6661776 
 01/21  02:00:00,36545657.73145594,746122165.6661776 
 01/21  03:00:00,36545657.73145594,746122165.6661776 
 01/21  04:00:00,36545657.73145594,746122165.6661776 
 01/21  05:00:00,36545657.73145594,746122165.6661776 
 01/21  06:00:00,36545657.73145594,746122165.6661776 
 01/21  07:00:00,88762776.67582561,941093873.7368754 
 01/21  08:00:00,93401162.08217525,941093873.7368754 
 01/21  09:00:00,257094319.35450912,1057793295.4182142 
 01/21  10:00:00,255377965.44577354,1057793295.4182142 
 01/21  11:00:00,255377965.44577354,1057793295.4182142 
 01/21  12:00:00,255377965.44577354,1057793295.4182142 
