Date/Time,Electricity:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/05  01:00:00,1375721515.585806,26211168.0 
 01/05  02:00:00,1371305888.4148588,26211168.0 
 01/05  03:00:00,1371345206.017236,37893960.358530894 
 01/05  04:00:00,1370810398.9563293,26211168.0 
 01/05  05:00:00,1369161999.2692578,26211168.0 
 01/05  06:00:00,1497621748.695657,122420218.07542716 
 01/05  07:00:00,2075248505.4226108,637850449.6480037 
 01/05  08:00:00,2195991317.504864,560293103.1489061 
 01/05  09:00:00,3277925856.694767,300346450.14980865 
 01/05  10:00:00,3218677784.082378,162539720.67414474 
 01/05  11:00:00,3198502092.3993664,162361783.20034316 
 01/05  12:00:00,3340627888.517576,173087523.8531674 
 01/05  13:00:00,3231526625.0086393,203322450.4884242 
 01/05  14:00:00,3425110212.3176036,192106688.79468635 
 01/05  15:00:00,3470868478.882525,138029546.78902712 
 01/05  16:00:00,3488737878.722801,137358282.62657344 
 01/05  17:00:00,3637694056.492646,162304794.26916137 
 01/05  18:00:00,2906832122.582863,106653673.37119539 
 01/05  19:00:00,2612355050.7776732,96488100.4150917 
 01/05  20:00:00,2436077288.4929185,80640131.39875332 
 01/05  21:00:00,2265150336.40655,83960780.4230384 
 01/05  22:00:00,2151763719.012852,58041108.989755645 
 01/05  23:00:00,1714819950.4802175,38415848.376281776 
 01/05  24:00:00,1596071454.8667917,50652818.36121282 
 01/06  01:00:00,1425139182.799903,26211168.0 
 01/06  02:00:00,1416682455.805125,26211168.0 
 01/06  03:00:00,1410277701.8741257,26211168.0 
 01/06  04:00:00,1408026386.4087589,26211168.0 
 01/06  05:00:00,1410674802.3294575,26211168.0 
 01/06  06:00:00,1566381321.3155923,46510523.57610263 
 01/06  07:00:00,2157049572.6160326,183077309.62359786 
 01/06  08:00:00,2264775080.7906256,197741866.83377504 
 01/06  09:00:00,3335419497.848791,147555281.4954254 
 01/06  10:00:00,3214860868.2003894,149867104.82951516 
 01/06  11:00:00,3133958102.7254457,145428451.284074 
 01/06  12:00:00,3268567191.200671,175713502.24487135 
 01/06  13:00:00,3202282241.773893,209330331.96164155 
 01/06  14:00:00,3359732838.4442296,200180406.17805016 
 01/06  15:00:00,3389317534.9467187,135335355.78558528 
 01/06  16:00:00,3398073063.4236107,124982795.77007975 
 01/06  17:00:00,3561335561.0190835,170143790.2977041 
 01/06  18:00:00,2870880476.8052006,112780778.41229656 
 01/06  19:00:00,2588444932.484599,96061377.75146386 
 01/06  20:00:00,2428695580.67952,120087829.3394037 
 01/06  21:00:00,2281700135.4481187,154510746.06617486 
 01/06  22:00:00,2167121590.1159105,164230507.3557784 
 01/06  23:00:00,1719998879.7180588,50606781.04901323 
 01/06  24:00:00,1582658119.1378984,38385510.60334521 
 01/07  01:00:00,1305335128.137805,26211168.0 
 01/07  02:00:00,1287320943.0288255,26211168.0 
 01/07  03:00:00,1283017156.870238,37894047.82231217 
 01/07  04:00:00,1277782193.3921893,26211168.0 
 01/07  05:00:00,1275027368.0445762,26211168.0 
 01/07  06:00:00,1418118513.9884205,364776080.6751922 
 01/07  07:00:00,2053034724.893934,1013648466.6871516 
 01/07  08:00:00,2004401715.7132893,869116694.8937161 
 01/07  09:00:00,2263610008.776765,644728401.5795897 
 01/07  10:00:00,2138701953.607012,512921559.68821776 
 01/07  11:00:00,1978814144.196024,403164169.1625066 
 01/07  12:00:00,2028600564.5969658,233226299.7234514 
 01/07  13:00:00,1836974412.9463234,202472397.68998274 
 01/07  14:00:00,1956921741.5574393,168040475.70065176 
 01/07  15:00:00,2009460877.3148534,126029960.01686989 
 01/07  16:00:00,2021601791.8435001,118049383.2181546 
 01/07  17:00:00,2180792632.4439774,112944206.98599793 
 01/07  18:00:00,2150393782.289387,51106214.39880487 
 01/07  19:00:00,1915694405.3673952,51007286.93200134 
 01/07  20:00:00,1682130817.6256251,51102490.32942798 
 01/07  21:00:00,1617755241.9067867,51081719.69730666 
 01/07  22:00:00,1513116255.0482666,51467966.39437871 
 01/07  23:00:00,1431985929.7313209,50669501.745775536 
 01/07  24:00:00,1354821560.1459937,38535544.14107534 
 01/08  01:00:00,1286056469.7432652,26211168.0 
 01/08  02:00:00,1275431776.8216844,26211168.0 
 01/08  03:00:00,1275419234.739938,26211168.0 
 01/08  04:00:00,1274620679.8367846,37893967.77137706 
 01/08  05:00:00,1273224079.4785016,26211168.0 
 01/08  06:00:00,1338823267.8160977,26211168.0 
 01/08  07:00:00,1688169131.4413662,50899309.55332122 
 01/08  08:00:00,1647067990.8311343,38440018.24597818 
 01/08  09:00:00,1619814919.8381872,38357342.18869988 
 01/08  10:00:00,1501131093.7230692,38206424.84738602 
 01/08  11:00:00,1362501020.1676357,38280905.37693606 
 01/08  12:00:00,1424705202.924103,50851496.806241855 
 01/08  13:00:00,1613909841.8872113,50858752.96715299 
 01/08  14:00:00,1690353238.0402186,51569466.26707506 
 01/08  15:00:00,1701904952.5455747,50975472.66679147 
 01/08  16:00:00,1717310565.0989494,38396513.15151204 
 01/08  17:00:00,1837918610.0458224,38322309.05575709 
 01/08  18:00:00,1842759260.657971,38416825.58662742 
 01/08  19:00:00,1824605586.2450547,38365324.01189904 
 01/08  20:00:00,1652411266.7083588,50227564.50511739 
 01/08  21:00:00,1618804795.7109985,38646260.00646922 
 01/08  22:00:00,1515091520.5673728,51142415.884693995 
 01/08  23:00:00,1416094365.3395703,38443055.61550276 
 01/08  24:00:00,1336083214.6866505,38332018.20435804 
 01/09  01:00:00,1369475142.112588,26211168.0 
 01/09  02:00:00,1368251413.155173,26211168.0 
 01/09  03:00:00,1367604657.879067,26211168.0 
 01/09  04:00:00,1366693896.2584565,26211168.0 
 01/09  05:00:00,1365872958.3749733,37892765.133396536 
 01/09  06:00:00,1550659728.6971114,547407996.080609 
 01/09  07:00:00,2063733908.4485378,1081340248.554877 
 01/09  08:00:00,2202583704.4717607,967169215.536782 
 01/09  09:00:00,3275823073.8472157,633800622.6027284 
 01/09  10:00:00,3161945892.587082,326101203.28580827 
 01/09  11:00:00,3103989420.5615416,166334226.5536823 
 01/09  12:00:00,3276192774.74321,178054646.8646741 
 01/09  13:00:00,3206600576.6600275,219204818.96413568 
 01/09  14:00:00,3373315939.7177835,191037252.55689394 
 01/09  15:00:00,3412765140.651252,139004419.14369452 
 01/09  16:00:00,3446357947.1226406,128232705.73460537 
 01/09  17:00:00,3608398077.230767,162640135.4361915 
 01/09  18:00:00,2910516199.117025,115062456.71953946 
 01/09  19:00:00,2622447561.8807907,99329516.1453751 
 01/09  20:00:00,2440111542.066341,84656162.11302939 
 01/09  21:00:00,2256604871.29385,127005661.60727075 
 01/09  22:00:00,2104520800.7263165,121527151.77892599 
 01/09  23:00:00,1679769590.4706025,38478127.12567146 
 01/09  24:00:00,1551065969.6575298,38532389.62207034 
 01/10  01:00:00,1376106622.6854599,37893837.4584826 
 01/10  02:00:00,1372476506.6789455,26211168.0 
 01/10  03:00:00,1371188521.5326605,26211168.0 
 01/10  04:00:00,1368638070.4066803,26211168.0 
 01/10  05:00:00,1367233758.6435175,26211168.0 
 01/10  06:00:00,1510483024.7472286,344315237.6197746 
 01/10  07:00:00,2053705363.8308482,876351562.4311769 
 01/10  08:00:00,2196520313.131609,773863576.4839766 
 01/10  09:00:00,3267505705.6022234,620143379.6185356 
 01/10  10:00:00,3163429807.528836,312634093.4203775 
 01/10  11:00:00,3130451537.176896,150722349.74297628 
 01/10  12:00:00,3295078373.8928986,177189622.46489373 
 01/10  13:00:00,3217520947.793025,202451600.9324281 
 01/10  14:00:00,3398661555.6068864,206142281.28408644 
 01/10  15:00:00,3439819819.9859657,126979885.89530706 
 01/10  16:00:00,3478929799.6870832,134844458.606458 
 01/10  17:00:00,3638266930.686703,170421530.11909312 
 01/10  18:00:00,2902240922.753919,100938076.49084829 
 01/10  19:00:00,2599585863.8311653,96711370.77114163 
 01/10  20:00:00,2459976808.706565,83048401.57482457 
 01/10  21:00:00,2233490427.3548975,101958048.07568431 
 01/10  22:00:00,2133948051.3509724,86274282.95835204 
 01/10  23:00:00,1712232065.709083,50778553.98309009 
 01/10  24:00:00,1550129354.8523684,38519658.09567173 
 01/11  01:00:00,1377246077.9168606,26211168.0 
 01/11  02:00:00,1375201403.2228334,26211168.0 
 01/11  03:00:00,1371939317.0098555,26211168.0 
 01/11  04:00:00,1371318728.67754,37893807.1124299 
 01/11  05:00:00,1371171426.493007,26211168.0 
 01/11  06:00:00,1486088910.7354949,113882539.8878294 
 01/11  07:00:00,2062344163.7579303,682050657.2473111 
 01/11  08:00:00,2194898014.91949,578631496.1378449 
 01/11  09:00:00,3271770460.178995,458683374.1693338 
 01/11  10:00:00,3177857494.1746616,229395162.5970445 
 01/11  11:00:00,3230486382.3461523,158585666.23899683 
 01/11  12:00:00,3376809337.2258387,173647293.32562664 
 01/11  13:00:00,3270146184.7305803,207947117.81957358 
 01/11  14:00:00,3458768836.7153277,191157023.75277165 
 01/11  15:00:00,3485825374.745394,139124640.97020856 
 01/11  16:00:00,3515069947.685177,137503027.1153899 
 01/11  17:00:00,3687434543.615862,160711270.89044467 
 01/11  18:00:00,2927629758.1094556,108181023.17914218 
 01/11  19:00:00,2641895703.5161147,96534377.772426 
 01/11  20:00:00,2477798484.241582,79559716.77369663 
 01/11  21:00:00,2309026713.1126103,82220335.45166102 
 01/11  22:00:00,2204926596.8084974,54861229.41468918 
 01/11  23:00:00,1725930822.3006725,38529364.359348804 
 01/11  24:00:00,1567314926.9233184,50763498.389276445 
 01/12  01:00:00,1396066109.1674943,26211168.0 
 01/12  02:00:00,1398344642.7745495,26211168.0 
 01/12  03:00:00,1389918351.5074883,26211168.0 
 01/12  04:00:00,1390665356.407936,26211168.0 
 01/12  05:00:00,1385187523.9306269,26211168.0 
 01/12  06:00:00,1521395797.6318145,37891352.255749196 
 01/12  07:00:00,2075520687.6126003,247819858.46126345 
 01/12  08:00:00,2199231365.8931775,389670891.4968126 
 01/12  09:00:00,3285480705.4980106,301165789.9733256 
 01/12  10:00:00,3236673494.3859367,156213557.4550379 
 01/12  11:00:00,3239091213.983769,145252623.48175973 
 01/12  12:00:00,3384579999.9550147,175872115.53958824 
 01/12  13:00:00,3291733182.06261,213742112.23715338 
 01/12  14:00:00,3479677541.2024574,196666150.74788135 
 01/12  15:00:00,3531932663.4096293,139081638.2243674 
 01/12  16:00:00,3579819078.1973352,121573145.55337602 
 01/12  17:00:00,3737187428.714718,170250056.9097244 
 01/12  18:00:00,2944606645.1545534,115098756.67944324 
 01/12  19:00:00,2676587635.0479083,93134433.08086741 
 01/12  20:00:00,2513979712.3108525,69325000.68499333 
 01/12  21:00:00,2342767755.472791,80394470.92550807 
 01/12  22:00:00,2200608159.1650853,52147815.79878699 
 01/12  23:00:00,1760844086.8642426,50042828.07407399 
 01/12  24:00:00,1597690605.2224178,38465572.657037735 
 01/13  01:00:00,1395409209.122613,26211168.0 
 01/13  02:00:00,1385151592.119359,37891493.28036484 
 01/13  03:00:00,1381612488.8032942,26211168.0 
 01/13  04:00:00,1380020723.7606387,26211168.0 
 01/13  05:00:00,1379957501.002191,26211168.0 
 01/13  06:00:00,1543916777.200807,26211168.0 
 01/13  07:00:00,2130923623.9534798,141792161.55339044 
 01/13  08:00:00,2268961991.0487924,142776270.80038434 
 01/13  09:00:00,3400772804.7967596,134795816.53368047 
 01/13  10:00:00,3324787034.0669603,154223736.60950214 
 01/13  11:00:00,3329798733.8255033,152106119.68158168 
 01/13  12:00:00,3445799892.104619,176091369.8336904 
 01/13  13:00:00,3317336914.889255,198155343.54657024 
 01/13  14:00:00,3512226012.96554,204196196.71509725 
 01/13  15:00:00,3547357792.0515366,129124277.85228777 
 01/13  16:00:00,3594902171.1648273,137452138.95111448 
 01/13  17:00:00,3752391209.5568104,170504741.32655907 
 01/13  18:00:00,2926628549.8293786,100307167.51187941 
 01/13  19:00:00,2673877403.169047,96538559.35548949 
 01/13  20:00:00,2506917663.53504,79401733.66392983 
 01/13  21:00:00,2378403681.071534,80386775.38574737 
 01/13  22:00:00,2281359649.533384,51215405.41760577 
 01/13  23:00:00,1792480570.6590037,50843977.46276973 
 01/13  24:00:00,1649921075.2078927,38317638.41707862 
 01/14  01:00:00,1361189898.4578834,26211168.0 
 01/14  02:00:00,1340130990.717017,26211168.0 
 01/14  03:00:00,1321265509.754493,26211168.0 
 01/14  04:00:00,1310813590.575113,37893736.17947096 
 01/14  05:00:00,1297036087.6784515,26211168.0 
 01/14  06:00:00,1419022951.883613,49963103.825239904 
 01/14  07:00:00,2082797474.0064282,417180703.571269 
 01/14  08:00:00,2013471697.6097515,439982826.16753757 
 01/14  09:00:00,2271325702.9124207,518540054.01534706 
 01/14  10:00:00,2152789892.6775594,333913589.4656683 
 01/14  11:00:00,2052681455.8600016,105946036.27313344 
 01/14  12:00:00,2202871812.0081944,114350298.7526671 
 01/14  13:00:00,2015077972.953599,86237734.25206265 
 01/14  14:00:00,2042645087.2282724,97570976.33844742 
 01/14  15:00:00,2050862909.391258,67224311.52891728 
 01/14  16:00:00,2049177270.617121,79483128.37584665 
 01/14  17:00:00,2206190034.318217,67558366.11693218 
 01/14  18:00:00,2132256801.6466036,51009955.94600958 
 01/14  19:00:00,1894213065.6267676,51140521.05291638 
 01/14  20:00:00,1628119984.51513,51131478.91184064 
 01/14  21:00:00,1603603536.718285,50886644.90339169 
 01/14  22:00:00,1501310884.1424932,51492704.0615724 
 01/14  23:00:00,1409564096.6793704,49076739.91475023 
 01/14  24:00:00,1342536322.4764352,40046978.02973457 
 01/15  01:00:00,1287321660.6570802,26211168.0 
 01/15  02:00:00,1283711127.9298654,26211168.0 
 01/15  03:00:00,1283679718.8780491,26211168.0 
 01/15  04:00:00,1280596216.2680602,37892383.31474892 
 01/15  05:00:00,1276572503.8853104,26211168.0 
 01/15  06:00:00,1340803369.5347288,26211168.0 
 01/15  07:00:00,1690535262.4297786,50960391.45946626 
 01/15  08:00:00,1648315150.7045455,38306117.08603492 
 01/15  09:00:00,1622427019.4547627,38292098.04678006 
 01/15  10:00:00,1502699890.4620428,38338709.49838172 
 01/15  11:00:00,1342853309.4829955,38387163.20539248 
 01/15  12:00:00,1399482822.4471402,50782920.09697116 
 01/15  13:00:00,1611060245.0008996,50902441.41634905 
 01/15  14:00:00,1670827625.0606089,51553658.27676052 
 01/15  15:00:00,1714921839.0522957,50903359.780188926 
 01/15  16:00:00,1696845337.899483,38382208.19433785 
 01/15  17:00:00,1798884327.0038157,38424825.01585436 
 01/15  18:00:00,1825573818.7694035,38270043.20946671 
 01/15  19:00:00,1791973342.5821536,38421268.024570294 
 01/15  20:00:00,1620537818.1140335,40299325.13675986 
 01/15  21:00:00,1594384983.4424586,48390972.27022925 
 01/15  22:00:00,1492935180.63923,51174781.49673093 
 01/15  23:00:00,1399749677.2531366,38408734.43422026 
 01/15  24:00:00,1329742609.0701632,38204354.851931 
 01/16  01:00:00,1279188065.583223,26211168.0 
 01/16  02:00:00,1279643252.3108985,26211168.0 
 01/16  03:00:00,1276994817.1556478,26211168.0 
 01/16  04:00:00,1274758998.9323342,26211168.0 
 01/16  05:00:00,1274168314.1927485,37892421.9387311 
 01/16  06:00:00,1339145792.9166396,26211168.0 
 01/16  07:00:00,1689185212.8653805,51099490.49967529 
 01/16  08:00:00,1647518221.1073508,38399766.46479242 
 01/16  09:00:00,1619436389.6575038,38447118.11120004 
 01/16  10:00:00,1500530335.3904788,38346514.93434446 
 01/16  11:00:00,1373865026.7909887,38237192.060230836 
 01/16  12:00:00,1457941750.5589185,50917736.95475461 
 01/16  13:00:00,1629219095.0339658,50969636.740690745 
 01/16  14:00:00,1730804945.4253237,51509294.206950724 
 01/16  15:00:00,1739302373.8069365,50908059.74564363 
 01/16  16:00:00,1564950755.0948844,38436437.35599752 
 01/16  17:00:00,1676369041.6813753,38219618.5172312 
 01/16  18:00:00,1849983210.1776052,38254621.79447883 
 01/16  19:00:00,1860345599.1446395,38316885.84578186 
 01/16  20:00:00,1717333246.2744188,38364738.0558059 
 01/16  21:00:00,1659031146.398159,50640765.04272512 
 01/16  22:00:00,1571536967.4042442,38533604.12408487 
 01/16  23:00:00,1450079652.0848563,50451398.56731031 
 01/16  24:00:00,1360266891.777966,38281741.951895356 
 01/17  01:00:00,1398771124.8389835,26211168.0 
 01/17  02:00:00,1396183095.4501252,26211168.0 
 01/17  03:00:00,1395540481.1507215,26211168.0 
 01/17  04:00:00,1393498653.5741,26211168.0 
 01/17  05:00:00,1390682655.5971,35845966.031749144 
 01/17  06:00:00,1537752088.5093343,226885310.8792775 
 01/17  07:00:00,2081084152.6479132,1071484166.1237036 
 01/17  08:00:00,2213563061.7037497,910400251.6283212 
 01/17  09:00:00,3289771121.8829436,680949892.928333 
 01/17  10:00:00,3192845071.8963404,280676133.5027627 
 01/17  11:00:00,3225867832.1643767,153235354.72211713 
 01/17  12:00:00,3338404500.633808,178350761.21787444 
 01/17  13:00:00,3226675827.5724554,217975924.05624285 
 01/17  14:00:00,3416717977.748391,194609373.9820633 
 01/17  15:00:00,3452724674.341008,139103635.90688103 
 01/17  16:00:00,3496490319.286479,123396615.35270965 
 01/17  17:00:00,3662362390.824556,168277935.9117564 
 01/17  18:00:00,2900071620.6516953,115152893.37571108 
 01/17  19:00:00,2652030473.156593,97777547.5051515 
 01/17  20:00:00,2463106755.0155406,69470861.4682333 
 01/17  21:00:00,2269442634.837016,88171406.45267563 
 01/17  22:00:00,2165445783.809635,83133892.57075304 
 01/17  23:00:00,1683205276.7376447,38516397.94092053 
 01/17  24:00:00,1546229123.7297173,38335700.0312093 
 01/18  01:00:00,1383480272.2272606,37893461.451722205 
 01/18  02:00:00,1375815106.0835984,26211168.0 
 01/18  03:00:00,1371998931.21092,26211168.0 
 01/18  04:00:00,1369294351.105905,26211168.0 
 01/18  05:00:00,1367804094.1765673,26211168.0 
 01/18  06:00:00,1497968158.1822283,118628058.7766768 
 01/18  07:00:00,2068147707.98431,840033396.8650188 
 01/18  08:00:00,2197472940.155988,846054538.0712036 
 01/18  09:00:00,3271756641.693941,657173454.8787885 
 01/18  10:00:00,3165200471.3535743,434168815.79315305 
 01/18  11:00:00,3157822455.3760934,156239547.62552157 
 01/18  12:00:00,3361838510.711076,176565710.11201945 
 01/18  13:00:00,3236973121.987492,201277143.8318702 
 01/18  14:00:00,3411141192.2719975,206460226.69941634 
 01/18  15:00:00,3454978814.8971825,127361192.51778157 
 01/18  16:00:00,3503292142.2990522,135251003.48828337 
 01/18  17:00:00,3679872428.535109,170538136.1525376 
 01/18  18:00:00,2903376580.194359,101911190.89306255 
 01/18  19:00:00,2642035932.1520405,95116316.33045813 
 01/18  20:00:00,2478489467.8442516,80977628.55054869 
 01/18  21:00:00,2271890445.7939467,84099949.94722582 
 01/18  22:00:00,2147085685.8645875,63706200.23355208 
 01/18  23:00:00,1683440697.650647,50677636.280818045 
 01/18  24:00:00,1544363216.6404967,38483069.78420083 
 01/19  01:00:00,1381216520.085546,26211168.0 
 01/19  02:00:00,1380997195.326458,26211168.0 
 01/19  03:00:00,1373986763.776943,37893663.8417527 
 01/19  04:00:00,1370862503.520855,26211168.0 
 01/19  05:00:00,1369556277.9337938,26211168.0 
 01/19  06:00:00,1487220928.4572601,103279630.34485357 
 01/19  07:00:00,2075705206.154694,527623839.68988967 
 01/19  08:00:00,2196392732.4145703,512812985.95994276 
 01/19  09:00:00,3281399446.8951283,345437650.187508 
 01/19  10:00:00,3255118417.690587,160433429.48703697 
 01/19  11:00:00,3290401769.2845063,159722132.64240304 
 01/19  12:00:00,3385991806.0332923,173822622.24847656 
 01/19  13:00:00,3285996277.086331,205365541.87029636 
 01/19  14:00:00,3504516173.2021627,191888474.43891555 
 01/19  15:00:00,3544798439.8097367,138793660.37272966 
 01/19  16:00:00,3595927386.824125,137520558.4539797 
 01/19  17:00:00,3779699834.347102,164453248.28066462 
 01/19  18:00:00,2932517146.7265773,105246925.53908895 
 01/19  19:00:00,2682493036.709516,96542995.12002714 
 01/19  20:00:00,2531700060.606607,79496607.67358536 
 01/19  21:00:00,2357892669.6692834,80286084.05351983 
 01/19  22:00:00,2218570809.4169374,51697013.03710821 
 01/19  23:00:00,1727048725.7421143,38408945.57265895 
 01/19  24:00:00,1594089639.7041821,50683477.19484752 
 01/20  01:00:00,1427313287.109896,26211168.0 
 01/20  02:00:00,1409587682.4954927,26211168.0 
 01/20  03:00:00,1411071823.5344915,26211168.0 
 01/20  04:00:00,1407795731.4472437,26211168.0 
 01/20  05:00:00,1390236681.0951672,37893628.7624939 
 01/20  06:00:00,1535510645.6289055,26211168.0 
 01/20  07:00:00,2100695183.5552335,110756683.67377764 
 01/20  08:00:00,2213767938.377873,130369405.55223799 
 01/20  09:00:00,3374356304.1093655,143057891.10782737 
 01/20  10:00:00,3432473996.758746,143840228.24565512 
 01/20  11:00:00,3389531862.0832577,148671025.95559502 
 01/20  12:00:00,3489327611.0025334,174201334.35292774 
 01/20  13:00:00,3391446985.9417353,216970902.1042597 
 01/20  14:00:00,3762913357.8439426,191498404.62080458 
 01/20  15:00:00,3800767690.611507,139079848.88257846 
 01/20  16:00:00,3913442467.0130854,128606899.81584966 
 01/20  17:00:00,4151283291.351824,162369199.10638303 
 01/20  18:00:00,3075861413.4400105,115085580.26649864 
 01/20  19:00:00,2726593134.3602405,96583633.45068704 
 01/20  20:00:00,2586790373.749883,70426637.8544335 
 01/20  21:00:00,2467286809.251534,86578382.30394767 
 01/20  22:00:00,2369416569.103734,53941688.09038152 
 01/20  23:00:00,1789359600.6526074,38444009.0858232 
 01/20  24:00:00,1676978174.247869,47446806.24324511 
 01/21  01:00:00,1423529300.4678683,29370090.10026826 
 01/21  02:00:00,1418911246.6709423,26211168.0 
 01/21  03:00:00,1417539645.7512577,26211168.0 
 01/21  04:00:00,1409697774.0752892,26211168.0 
 01/21  05:00:00,1387983200.7554011,26211168.0 
 01/21  06:00:00,1533840651.9500916,26211168.0 
 01/21  07:00:00,2236995333.7212334,51640242.85959709 
 01/21  08:00:00,2153720078.2312193,66528371.31907143 
 01/21  09:00:00,2441195378.5250044,79349071.25051633 
 01/21  10:00:00,2417807012.1199107,89405810.97645465 
 01/21  11:00:00,2318469181.2605696,88257960.26330249 
 01/21  12:00:00,2342443822.9455013,97839426.84104966 
